#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Sprint,Description
47282,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Broken inheritance on AbstractNode (with PHP ~5.3.5),Karsten Dambekalns,Karsten Dambekalns,2013-04-16 09:36,"","",2013-04-16,"","",100,2013-04-16 07:51,"","",1114750,"","","When running unit tests on PHP 5.3.5 (our Jenkins right now), there is a fatal error:

<pre>Apr 16 13:21:10 17604 php: PHP Fatal error:  Can't inherit abstract function TYPO3\TYPO3CR\Domain\Model\NodeInterface::setName() (previously declared abstract in TYPO3\TYPO3CR\Domain\Model\AbstractNode) in /?/TYPO3CR/Domain/Model/AbstractNode.php on line 31
Apr 16 13:21:10 17604 php: PHP Stack trace:
Apr 16 13:21:10 17604 php: PHP   1. {main}() /usr/bin/phpunit:0
Apr 16 13:21:10 17604 php: PHP   2. PHPUnit_TextUI_Command::main() /usr/bin/phpunit:46
Apr 16 13:21:10 17604 php: PHP   3. PHPUnit_TextUI_Command->run() /usr/share/php/PHPUnit/TextUI/Command.php:130
Apr 16 13:21:10 17604 php: PHP   4. PHPUnit_TextUI_TestRunner->doRun() /usr/share/php/PHPUnit/TextUI/Command.php:192
Apr 16 13:21:10 17604 php: PHP   5. PHPUnit_Framework_TestSuite->run() /usr/share/php/PHPUnit/TextUI/TestRunner.php:325
Apr 16 13:21:10 17604 php: PHP   6. PHPUnit_Framework_TestSuite->run() /usr/share/php/PHPUnit/Framework/TestSuite.php:705
Apr 16 13:21:10 17604 php: PHP   7. PHPUnit_Framework_TestSuite->runTest() /usr/share/php/PHPUnit/Framework/TestSuite.php:745
Apr 16 13:21:10 17604 php: PHP   8. PHPUnit_Framework_TestCase->run() /usr/share/php/PHPUnit/Framework/TestSuite.php:772
Apr 16 13:21:10 17604 php: PHP   9. PHPUnit_Framework_TestResult->run() /usr/share/php/PHPUnit/Framework/TestCase.php:751
Apr 16 13:21:10 17604 php: PHP  10. TYPO3\Flow\Tests\BaseTestCase->runBare() /usr/share/php/PHPUnit/Framework/TestResult.php:649
Apr 16 13:21:10 17604 php: PHP  11. PHPUnit_Framework_TestCase->runBare() /?/Framework/TYPO3.Flow/Tests/BaseTestCase.php:41
Apr 16 13:21:10 17604 php: PHP  12. TYPO3\TYPO3CR\Tests\Unit\Domain\Model\NodeTest->setUp() /?/TestCase.php:801
Apr 16 13:21:10 17604 php: PHP  13. TYPO3\Flow\Tests\BaseTestCase->getAccessibleMock() /?/Application/TYPO3.TYPO3CR/Tests/Unit/Domain/Model/NodeTest.php:28
Apr 16 13:21:10 17604 php: PHP  14. TYPO3\Flow\Tests\BaseTestCase->buildAccessibleProxy() /?/Framework/TYPO3.Flow/Tests/BaseTestCase.php:59
Apr 16 13:21:10 17604 php: PHP  15. ReflectionClass->__construct() /?/Tests/BaseTestCase.php:89
Apr 16 13:21:10 17604 php: PHP  16. Composer\Autoload\ClassLoader->loadClass() /?/Libraries/composer/ClassLoader.php:0
Apr 16 13:21:10 17604 php: PHP  17. include() /?/Libraries/composer/ClassLoader.php:183
Apr 16 13:21:10 17604 php: PHP  18. Composer\Autoload\ClassLoader->loadClass() /?/Libraries/composer/ClassLoader.php:0
Apr 16 13:21:10 17604 php: PHP  19. include() /?/Libraries/composer/ClassLoader.php:183</pre>

The tests pass with PHP 5.4.12 and 5.3.22, so this seems to be some weird old issue. Anyway, since the methods @getName()@ and @setName()@ are in the @NodeInterface@, there is no need for them to be in @AbstractNode@ as abstract methods."
46464,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Remove Neos SiteRepository from NodeConverter,Soren Malling,"",2014-03-26 07:48,"","",2013-03-20,"","",100,2013-03-20 09:06,"","",1074400,"","","ATM TYPO3.TYPO3CR packages in only useable along with the TYPO3.Neos package, since the Neos SiteRepository it required in the typeconverter NodeConverter

        /**
         * @Flow\Inject
         * @var \TYPO3\Neos\Domain\Repository\SiteRepository
         */
        protected $siteRepository;


Solution (I guess):
-------------------
Move the NodeConverter to TYPO3.Neos or remove dependency on the neos siterepository

* or declare the dependency in composer.json "
46401,TYPO3.TYPO3CR,Task,Work Package #45020: Content Editing Stability and Features,Closed,Must have,Workspace module breaks when having two node with same path,Aske Ertmann,Tim Kandel,2014-11-02 12:22,"","",2013-03-18,"","",0,2013-03-18 08:04,"","",1071250,"","","Due to the uniqueness of paths, the workspace module breaks if you have two nodes on the same level with the same path. E.g. two subpages or a subpage and a section with the same path.

We need to figure out what we can do about this issue, since it will become a regular problem."
45312,TYPO3.TYPO3CR,Feature,"",New,Could have,add required child nodes to Node Types,Sebastian Kurfuerst,"",2013-02-09 05:11,Node handling,"",2013-02-09,"","",0,2013-02-09 05:11,"","",1017650,"","","required child-nodes cannot be deleted. Req. child nodes are defined in the schema:

<pre>
MyNodeType:
  childNodes:
    foo:
      autoCreated: false (true is the default; might need to implement this at some point)
      required/mandatory: true # TODO implement
</pre>

Doesn't have high priority though; we thought about this in #44955"
45311,TYPO3.TYPO3CR,Feature,"",New,Should have,Add isAbstract and isMixin to NodeType Schema,Sebastian Kurfuerst,"",2013-11-05 04:56,Node handling,"",2013-02-09,"","",50,2013-02-09 05:08,"","",1017600,"","","for each node type, it might be helpful to know whether it is abstract or mixin, we thought about an @isAbstract@  or @isMixin@ property."
44072,TYPO3.TYPO3CR,Feature,"",Rejected,Should have,Add content type filtering to the node repository's method findOnPath,Aske Ertmann,Aske Ertmann,2014-06-16 05:02,Query handling,"",2012-12-17,"","",70,2012-12-17 15:18,"","",957350,"","","It would be nice to have a way of filtering which kinds of nodes findOnPath returned so it would happen in the query like the and not have to processed afterwards. It would make it easier to find a specific kind of node on a given path, since the logic is quite complex with all the subtypes etc."
40677,TYPO3.TYPO3CR,Bug,Work Package #45020: Content Editing Stability and Features,Closed,Should have,Pasting pastes into target node rather than after,Adrian Föder,Tim Kandel,2014-11-02 12:22,Node handling,"",2012-09-06,"","",100,2012-09-06 10:14,"","",792650,"","","When having the following given node structure (@GridContainer@ and @FreeColumn@ are own Section content elements):

<pre>
Page
  GridContainer
    FreeColumn ~
    FreeColumn #
</pre>

I want to make the both FreeColumns siblings. So I
* select FreeColumn #
* click Cut on it
* select FreeColumn ~ via the Inspector
* click paste on it

I therefore expect # being a sibling of ~, hence being inserted after rather than into ~.
But the result stays the same: # is child of ~ like before."
40664,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Cut and Paste of Content Elements gives 500,Adrian Föder,Aske Ertmann,2012-09-06 10:35,Node handling,Sprint 10 (1.0 TP1),2012-09-06,"","",100,2012-09-06 02:17,"","",792000,"","","When cutting and pasting, an Error occurs, saying

> [06-Sep-2012 06:05:43 UTC] PHP Fatal error:  Call to undefined method TYPO3\TYPO3CR\Domain\Model\ProxyNode::setPath() in C:\Users\afoeder\PhpstormProjects\Edsh\edsh.de\Data\Temporary\Development\Cache\Code\FLOW3_Object_Classes\TYPO3_TYPO3CR_Domain_Model_Node_Original.php on line 222

The loop on the mentioned line seems to unintendedly get a ProxyNode instead of a ""plain"" node.

May this (again) be due to a ""went inconsistent"" persisted nodes state?"
40623,TYPO3.TYPO3CR,Feature,"",Resolved,Should have,Add method to rename a node,Karsten Dambekalns,Karsten Dambekalns,2012-09-05 09:35,Node handling,Sprint 10 (1.0 TP1),2012-09-04,"","",100,2012-09-04 13:48,"","",790000,"","","Using move methods it is possible to rename a node, but it is cumbersome to retain the position. A simple @rename()@ seems much better."
40622,TYPO3.TYPO3CR,Feature,"",Resolved,Should have,Copying of nodes,Karsten Dambekalns,Karsten Dambekalns,2012-09-04 17:35,Node handling,Sprint 10 (1.0 TP1),2012-09-04,"","",100,2012-09-04 13:47,"","",789950,"","","We need @copyBefore()@, @copyAfter()@ and @copyInto()@."
40551,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,"Sections are not published in the current publishing process, so any content of multi column elements fails to display",Adrian Föder,Aske Ertmann,2012-09-04 17:42,Node handling,Sprint 10 (1.0 TP1),2012-08-15,2012-08-15,"",100,2012-09-03 06:00,"","",786750,"","","Currently, a four-column-container is added to the site, each column having plain TS text objects.
The publish button is pressed and went disabled, after changing some content the publish button is pressed again.
However, the column content is not part of the exported XML, it's just

<pre><code class=""xml"">
<?xml version=""1.0"" encoding=""UTF-8""?>
<root>
	<site nodeName=""mysite"">
		<properties><!-- abridged --></properties>
		<node identifier=""f8f70a5f-7fcd-4e2c-b677-ee918a436c5c"" type=""TYPO3.TYPO3:Page"" nodeName=""homepage"" locale="""">
			<properties>
				<title>Start</title>
			</properties>
			<node identifier=""560e38d2-5246-4f23-b2ca-1d26334834df"" type=""TYPO3.TYPO3:Section"" nodeName=""main"" locale="""">
				<node identifier=""59110f02-e0fa-4a61-8b9f-38f47ede75f2"" type=""TYPO3.TYPO3:FourColumn"" nodeName=""502780c427f66"" locale="""">
					<properties>
						<layout>25-25-25-25</layout>
					</properties>
				</node>
			</node>
		</node>
	</site>
</root>
</code></pre>


if that helps; the db content looks like
<pre>
model_workspace:                                                                                                       
flow3_persistence_identifier         | baseworkspace                        | rootnode                             | name       
0ac909bc-0cf4-4ad1-80dd-5f5580c2415d | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 | 1bb9382b-3d09-454e-8f4a-8f55350308b9 | user-adrian
0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |                                      | 31047548-8e7b-4d7b-bbb2-919f07bb0f20 | live       
</pre>

<pre>
model_node:                                                                                                                                                                                                                                                                                                                                                                                           
53f70cc2-11ab-43dc-b69b-65ab187872a8 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage                                          | f8f70a5f-7fcd-4e2c-b677-ee918a436c5c | 100 | a:1:{s:5:""title"";s:5:""Start"";}                                                                                               | TYPO3.TYPO3:Page       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite                                    
a7602ae7-94f4-4133-ae1f-2927eef35284 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66                       | 59110f02-e0fa-4a61-8b9f-38f47ede75f2 | 144 | a:1:{s:6:""layout"";s:11:""25-25-25-25"";}                                                                                       | TYPO3.TYPO3:FourColumn | 0 | 0 |  |  | 0 | a:0:{} | 4 | /sites/mysite/homepage/main                      
ea9f9ce8-a115-4d71-8924-c602090f214a | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main                                     | 560e38d2-5246-4f23-b2ca-1d26334834df | 100 | a:0:{}                                                                                                                       | TYPO3.TYPO3:Section    | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage                           
                                                                                                                                                                                                                                                                                                                                                                                           
0c0f13b7-3217-4cca-bafc-7fa2875a9cd8 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column1/50278122c4de5 | 8ebd41bf-62c8-4e2d-a3cd-31dc2604df94 | 100 | a:2:{s:5:""title"";s:26:""<h1>Zweite Spalte<br></h1>"";s:4:""text"";s:23:""<p>Enter text here.</p>"";}                               | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage/main/502780c427f66/column1
2f8bac30-0c56-4cd6-80ba-9bba5fc061ef | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column3/5027815de974b | 735bd7d3-ec1b-4854-9b0c-0ab5391d3a12 | 100 | a:2:{s:5:""title"";s:26:""<h1>Vierte Spalte<br></h1>"";s:4:""text"";s:23:""<p>Enter text&nbsp;</p>"";}                               | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage/main/502780c427f66/column3
aba0ba6c-68a4-4e91-ab94-c5ef9815d29a | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column0/502780f0f3926 | 822d9909-2ee2-44bb-a422-b2dffcde3276 | 100 | a:2:{s:5:""title"";s:38:""<h1>Ich bin eine Überschrift<br></h1>"";s:4:""text"";s:42:""<p>Und ein Plaintext; erste Spalte<br></p>"";} | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage/main/502780c427f66/column0
b9cb9218-587a-4da7-b3a1-61f80158ac70 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column2/5027813fca49c | f1047ac7-a030-4405-9d44-2926dc3bb114 | 100 | a:2:{s:5:""title"";s:26:""<h1>Dritte Spalte<br></h1>"";s:4:""text"";s:22:""<p>Enter text here</p>"";}                                | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 6 | /sites/mysite/homepage/main/502780c427f66/column2
</pre>

If you need further info, don't hesitate to ask; it's just an experimental web page."
40373,TYPO3.TYPO3CR,Feature,"",Resolved,Should have,TYPO3CR content migration support,Karsten Dambekalns,Christian Müller,2012-09-04 16:35,"",Sprint 10 (1.0 TP1),2012-08-29,"","",100,2012-08-29 06:41,"","",778200,"","","We need a way to migrate content when content types or internal structures change, so one can e.g. rename a content type."
39795,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,"Sections are not published in the current publishing process, so any content of multi column elements fails to display",Adrian Föder,"",2012-09-03 05:35,Node handling,"",2012-08-14,"","",100,2012-08-14 05:24,"","",751250,"","","Currently, a four-column-container is added to the site, each column having plain TS text objects.
The publish button is pressed and went disabled, after changing some content the publish button is pressed again.
However, the column content is not part of the exported XML, it's just

<pre><code class=""xml"">
<?xml version=""1.0"" encoding=""UTF-8""?>
<root>
	<site nodeName=""mysite"">
		<properties><!-- abridged --></properties>
		<node identifier=""f8f70a5f-7fcd-4e2c-b677-ee918a436c5c"" type=""TYPO3.TYPO3:Page"" nodeName=""homepage"" locale="""">
			<properties>
				<title>Start</title>
			</properties>
			<node identifier=""560e38d2-5246-4f23-b2ca-1d26334834df"" type=""TYPO3.TYPO3:Section"" nodeName=""main"" locale="""">
				<node identifier=""59110f02-e0fa-4a61-8b9f-38f47ede75f2"" type=""TYPO3.TYPO3:FourColumn"" nodeName=""502780c427f66"" locale="""">
					<properties>
						<layout>25-25-25-25</layout>
					</properties>
				</node>
			</node>
		</node>
	</site>
</root>
</code></pre>


if that helps; the db content looks like
<pre>
model_workspace:                                                                                                       
flow3_persistence_identifier         | baseworkspace                        | rootnode                             | name       
0ac909bc-0cf4-4ad1-80dd-5f5580c2415d | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 | 1bb9382b-3d09-454e-8f4a-8f55350308b9 | user-adrian
0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |                                      | 31047548-8e7b-4d7b-bbb2-919f07bb0f20 | live       
</pre>

<pre>
model_node:                                                                                                                                                                                                                                                                                                                                                                                           
53f70cc2-11ab-43dc-b69b-65ab187872a8 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage                                          | f8f70a5f-7fcd-4e2c-b677-ee918a436c5c | 100 | a:1:{s:5:""title"";s:5:""Start"";}                                                                                               | TYPO3.TYPO3:Page       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite                                    
a7602ae7-94f4-4133-ae1f-2927eef35284 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66                       | 59110f02-e0fa-4a61-8b9f-38f47ede75f2 | 144 | a:1:{s:6:""layout"";s:11:""25-25-25-25"";}                                                                                       | TYPO3.TYPO3:FourColumn | 0 | 0 |  |  | 0 | a:0:{} | 4 | /sites/mysite/homepage/main                      
ea9f9ce8-a115-4d71-8924-c602090f214a | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main                                     | 560e38d2-5246-4f23-b2ca-1d26334834df | 100 | a:0:{}                                                                                                                       | TYPO3.TYPO3:Section    | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage                           
                                                                                                                                                                                                                                                                                                                                                                                           
0c0f13b7-3217-4cca-bafc-7fa2875a9cd8 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column1/50278122c4de5 | 8ebd41bf-62c8-4e2d-a3cd-31dc2604df94 | 100 | a:2:{s:5:""title"";s:26:""<h1>Zweite Spalte<br></h1>"";s:4:""text"";s:23:""<p>Enter text here.</p>"";}                               | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage/main/502780c427f66/column1
2f8bac30-0c56-4cd6-80ba-9bba5fc061ef | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column3/5027815de974b | 735bd7d3-ec1b-4854-9b0c-0ab5391d3a12 | 100 | a:2:{s:5:""title"";s:26:""<h1>Vierte Spalte<br></h1>"";s:4:""text"";s:23:""<p>Enter text&nbsp;</p>"";}                               | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage/main/502780c427f66/column3
aba0ba6c-68a4-4e91-ab94-c5ef9815d29a | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column0/502780f0f3926 | 822d9909-2ee2-44bb-a422-b2dffcde3276 | 100 | a:2:{s:5:""title"";s:38:""<h1>Ich bin eine Überschrift<br></h1>"";s:4:""text"";s:42:""<p>Und ein Plaintext; erste Spalte<br></p>"";} | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 2 | /sites/mysite/homepage/main/502780c427f66/column0
b9cb9218-587a-4da7-b3a1-61f80158ac70 | 0ce8adbc-f358-46af-bd1d-3cce7a73bb40 |  | /sites/mysite/homepage/main/502780c427f66/column2/5027813fca49c | f1047ac7-a030-4405-9d44-2926dc3bb114 | 100 | a:2:{s:5:""title"";s:26:""<h1>Dritte Spalte<br></h1>"";s:4:""text"";s:22:""<p>Enter text here</p>"";}                                | TYPO3.TYPO3:Text       | 0 | 0 |  |  | 0 | a:0:{} | 6 | /sites/mysite/homepage/main/502780c427f66/column2
</pre>

If you need further info, don't hesitate to ask; it's just an experimental web page."
37958,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Authentication no longer triggered for inaccessible node,Karsten Dambekalns,Christian Müller,2012-07-13 10:39,Node handling,Sprint 9,2012-06-12,"","",100,2012-06-12 08:56,"","",660500,"","","Until now we could redirect to the ""My T3CON"" page from the typo3.org SSO login and the user would be authenticated. This does not work any longer since this change:
<pre>
e6aac075332b526e7fde5e22ebd370238d43c99d
commit e6aac075332b526e7fde5e22ebd370238d43c99d
Author: Christian Müller <christian@kitsunet.de>
Date:   Tue May 22 18:03:52 2012 +0200

    [BUGFIX] Nodes with access roles should behave as expected
    
    Change-Id: Ib21f641ed15164b15a5d48397511234ad503d59c

diff --git a/Classes/Domain/Model/Node.php b/Classes/Domain/Model/Node.php
index 3147220..a445eda 100644
--- a/Classes/Domain/Model/Node.php
+++ b/Classes/Domain/Model/Node.php
@@ -972,7 +972,7 @@ class Node implements NodeInterface {
                        return NULL;
                }
 
-               if (!$this->isAccessible() && !$this->nodeRepository->getContext()->isInaccessibleContentShown()) {
+               if (!$node->isAccessible() && !$this->nodeRepository->getContext()->isInaccessibleContentShown()) {
                        return NULL;
                }
                return $node;
</pre>

Now instead of being authenticated a 404 is returned, as the node is not ""found"" in the first place."
37435,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Functional Domain/NodesTest fail with 2 Errors,Adrian Föder,Christian Müller,2012-07-13 10:22,Node handling,"",2012-05-23,"","",100,2012-05-23 09:22,"","",634500,"","","Functional Testing fails with the following messages:

<pre>
There were 2 failures:

1) TYPO3\TYPO3CR\Tests\Functional\Domain\NodesTest::renumberingTakesUnpersistedNodeOrderChangesIntoAccount
Expected node node003 (index 3), actual node node004 (index 5)

/var/www/Packages/Application/TYPO3.TYPO3CR/Tests/Functional/Domain/NodesTest.php:552
/var/www/Packages/Application/TYPO3.TYPO3CR/Tests/Functional/Domain/NodesTest.php:500
/var/www/Packages/Framework/TYPO3.FLOW3/Tests/BaseTestCase.php:50

2) TYPO3\TYPO3CR\Tests\Functional\Domain\NodesTest::nodeRepositoryRenumbersNodesIfNoFreeSortingIndexesAreAvailable
Expected node node150 (index 800), actual node node149 (index 7900)

/var/www/Packages/Application/TYPO3.TYPO3CR/Tests/Functional/Domain/NodesTest.php:552
/var/www/Packages/Application/TYPO3.TYPO3CR/Tests/Functional/Domain/NodesTest.php:526
/var/www/Packages/Framework/TYPO3.FLOW3/Tests/BaseTestCase.php:50

FAILURES!
Tests: 20, Assertions: 30, Failures: 2.
</pre>

Maybe you have that, too; System is Debian Sqeeze with PHP 5.4 (!)"
37434,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Functional Domain/NodesTest must have testableHttpEnabled,Adrian Föder,Adrian Föder,2012-05-23 18:45,Node handling,"",2012-05-23,"","",0,2012-05-23 09:10,"","",634450,"","","TYPO3\TYPO3\Domain\Service\ContentContext::initializeObject() has 
<pre>
$activeRequesthandler->getHttpRequest()->getUri()->getHost())
</pre>

getHttpRequest() returns NULL if the TYPO3CR's NodesTest doesn't have 
<pre>
protected $testableHttpEnabled = TRUE;
</pre>
and therefore the FunctionalTest fatal error's very early with ""calling getUri() on a Non-object""
"
36635,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,ContextInterface lacks two needed methods,Karsten Dambekalns,Karsten Dambekalns,2012-04-26 20:38,"","",2012-04-26,"","",100,2012-04-26 15:59,"","",595000,"","","The methods @setInaccessibleContentShown()@ and @isInaccessibleContentShown()@ were introduced to the context, but not the @ContextInterface@"
34291,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Node Reordering needs to take unpersisted node order changes into account,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-05-23 05:45,Node handling,"",2012-02-26,"","",100,2012-02-26 11:33,"","",480700,"","","he error can be reproduced in the following way:

* First, create some nodes, and persist them.
* Then, move a node after another one, filling the LAST free sorting index between the nodes. Do NOT persist after that.
* After that, try to *again* move a node to this spot. In this case, we need to *renumber* the node indices, and the system needs to take the before-moved node into account as well.

The bug tested by this testcase led to wrong orderings on the flow3org website in the documentation part under some circumstances."
34116,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,setNewIndex() breaks when invalid position is given,Karsten Dambekalns,Karsten Dambekalns,2012-05-21 09:37,Node handling,"",2012-02-20,"","",100,2012-02-20 11:25,"","",472000,"","","When an invalid position is given to setNewIndex(), the index of the target node iss either set to NULL or the code will break due to the use of an uninitialized variable."
33825,TYPO3.TYPO3CR,Feature,"",New,Should have,Type hierarchy support for content type filter,Karsten Dambekalns,"",2012-02-09 16:58,Node handling,"",2012-02-09,"","",0,2012-02-09 16:58,"","",457650,"","","When using content type filtering with @getChildNodes()@, it is not possible to make use of a type hierarchy. It would be nice to have an operator like @instanceof@ to fetch all nodes of type ""x or above""."
32667,TYPO3.TYPO3CR,Bug,"",Resolved,-- undefined --,TYPO3\TYPO3CR\Exception\NodeException thrown in file TYPO3_TYPO3CR_Domain_Model_Node_Original.php,Jonathan Starck,"",2012-01-20 20:41,"","",2011-12-18,"","",0,2011-12-18 10:24,"","",401600,"","","The security context is not yet intialized, thus the Node ""/sites/phoenixdemotypo3org/homepage/adminpage"" cannot determine if it is accessible. Some code part is calling isAccessible() early than is possible at that initialization stage.
19 TYPO3\TYPO3CR\Domain\Model\Node_Original::isAccessible()

18 TYPO3\TYPO3\Controller\Frontend\NodeController_Original::showAction(TYPO3\TYPO3CR\Domain\Model\Node)

17 call_user_func_array(array, array)

16 TYPO3\FLOW3\MVC\Controller\ActionController_Original::callActionMethod()

15 TYPO3\FLOW3\MVC\Controller\ActionController_Original::processRequest(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

14 TYPO3\FLOW3\MVC\Dispatcher_Original::dispatch(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

13 TYPO3\FLOW3\MVC\Dispatcher::dispatch(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

12 call_user_func_array(array, array)

11 TYPO3\FLOW3\MVC\Dispatcher::FLOW3_AOP_Proxy_invokeJoinPoint(TYPO3\FLOW3\AOP\JoinPoint)

10 TYPO3\FLOW3\AOP\Advice\AdviceChain::proceed(TYPO3\FLOW3\AOP\JoinPoint)

9 TYPO3\FLOW3\Security\Aspect\RequestDispatchingAspect_Original::setAccessDeniedResponseHeader(TYPO3\FLOW3\AOP\JoinPoint)

8 TYPO3\FLOW3\AOP\Advice\AroundAdvice::invoke(TYPO3\FLOW3\AOP\JoinPoint)

7 TYPO3\FLOW3\AOP\Advice\AdviceChain::proceed(TYPO3\FLOW3\AOP\JoinPoint)

6 TYPO3\FLOW3\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\FLOW3\AOP\JoinPoint)

5 TYPO3\FLOW3\AOP\Advice\AroundAdvice::invoke(TYPO3\FLOW3\AOP\JoinPoint)

4 TYPO3\FLOW3\AOP\Advice\AdviceChain::proceed(TYPO3\FLOW3\AOP\JoinPoint)

3 TYPO3\FLOW3\MVC\Dispatcher::dispatch(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

2 TYPO3\FLOW3\MVC\Web\RequestHandler::handleRequest()

1 TYPO3\FLOW3\Core\Bootstrap::run()


Please include more helpful information!"
32298,TYPO3.TYPO3CR,Task,Story #40585: [Page Tree] As a content editor I want to move pages by drag and drop,Closed,Must have,Feature Moving Pages into branches / create new branches,Markus Goldbeck,Karsten Dambekalns,2012-10-04 08:01,Node handling,Sprint 10 (1.0 TP1),2011-12-05,"",0.00,100,2011-12-05 06:03,"","",383600,0.00,"","Missing Implementation of moving pages into branches in /TYPO3.TYPO3CR/Classes/Domain/Model/Node.php

The functions _moveBefore()_ and _moveAfter()_ are implemented but there is no possibility to move pages into branches or create new branches by moving a page on another.


Needed functions which update recursivly the paths of their childs:
* _moveIntoBefore()_
* _moveIntoAfter()_
* special case _moveInto()_ for creating a new branch"
30384,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Sorting order of nodes is broken,Robert Lemke,Robert Lemke,2011-09-30 09:05,Node handling,"",2011-09-28,"","",100,2011-09-28 07:46,"","",289700,"","","The sorting order of nodes, especially in a multi-workspace scenario, is partly random. Creating a node and then moving it with moveBefore() and moveAfter() doesn't always lead to the expected result."
30167,TYPO3.TYPO3CR,Bug,"",Resolved,Could have,Rename hiddenBeforeDate and hiddenAfterDate,Rens Admiraal,Rens Admiraal,2011-12-23 09:52,Node handling,"",2011-09-21,"","",0,2011-09-21 09:02,"","",278900,"","","hiddenBeforeDate and hiddenAfterDate both hold a DateTime object, so the names should reflect that. Suggestion:

hiddenBeforeDateTime / hiddenAfterDateTime

credits for finding go to Peter Beernink"
29538,TYPO3.TYPO3CR,Task,"",Resolved,Should have,Streamline isVisible() and isAccessible implementations,Robert Lemke,Robert Lemke,2011-11-07 04:29,Node handling,"",2011-09-07,"","",100,2011-09-07 05:28,"","",247750,"","","Currently Node::isVisible() will only consider if a Node is accessible or not, if the security context is already initialized.
This is usually the case, but in the Node Routepart Handler it is not. 

We need to do some further investigation to see if FLOW3 could provide the necessary information already at that early stage.

Maybe, isVisible() should only tell if the Node has any visibility modifiers set and access restrictions should be handled separately."
