#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
40328,Base Distribution,Story,"",New,Should have,As an administrator I can export selected parts of an existing site to a new site package,Robert Lemke,"",2012-08-28 06:12,"","","","","",0.00,0,2012-08-28 06:12,"","",1761700,"",""
40329,Base Distribution,Story,"",Postponed,Should have,"As a content manager, I want to list and edit my Content and Domain Objects inside the Management view",Robert Lemke,"",2012-10-04 08:00,"",Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-28 06:17,"","",1759250,0.00,"Definition of done:

* List nodes / domain objects
* Pagination of the list
* configurable Sorting of the list
* configurable filtering or full-text search of the list
* create new domain objects
* delete nodes / domain objects
* edit a single domain object / node
* edit multiple nodes / domain objects
** change one property in all nodes/domain-objects to the same value
** change a set of properties in all nodes/domain objects to different values
* use AJAX where appropriate for a smooth user experience
* (maybe) create new nodes

we need a generic listing module which is fully adjustable.
It should have a filter tree on the left, and a right area which contains the actual data. This could be a grid, an item-like list, or ..."
40330,Base Distribution,Story,"",Closed,Should have,"[DISCUSS] As a Content manager, I want to identify specific content elements inside a list",Robert Lemke,Sebastian Kurfuerst,2012-10-04 10:02,"",Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-28 06:19,"","",1759750,0.00,""
40331,Base Distribution,Story,"",New,Should have,"As a Content Manager, I want to create multiple pages at once",Robert Lemke,"",2012-08-28 06:21,"","","","","",0.00,0,2012-08-28 06:21,"","",1761600,"",""
40332,Base Distribution,Epic,"",New,Should have,EPIC: Management view content editing,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 06:21,"","",1761550,"",https://notes.typo3.org/p/PhoenixContentManagementModule
40334,Base Distribution,Epic,"",New,Should have,EPIC: Module Overview Pages,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 06:23,"","",1761500,"","basic idea: configure path to Fluid template inside the module configuration; this fluid template can then render a single ""module widget""
-> create a ViewHelper which wraps StandaloneView
-> in case a ""module widget"" should do more interactive stuff, the fluid template can always include a fluid widget."
40335,Base Distribution,Story,"",New,Should have,"As an Administrator, I want to run FLOW3 CLI commands in the Launch Bar",Robert Lemke,"",2013-05-11 12:57,"","","","","",0.00,0,2012-08-28 06:25,"","",1760150,"",""
40336,Base Distribution,Story,"",New,Could have,As a Site Integrator I want to see a list of rendering issues,Robert Lemke,"",2013-05-15 10:20,Content Rendering,1.0 beta 1,"","","",0.00,0,2012-08-28 06:26,"","",1760000,"","currently, when ""something goes wrong"", the inner page in ""Backend mode"" stays white and when examining the source code, one can see, for example,
<!-- Exception while rendering page&lt;TYPO3.TYPO3:Page&gt;/body : Cannot cast object of type ""TYPO3\Eel\FlowQuery\FlowQuery"" to string. -->
I think such happenings should pop through to the user more obviously."
40467,Base Distribution,Epic,"",Closed,Must have,Change the product name of TYPO3 Phoenix,Robert Lemke,"",2013-01-29 09:33,General / Project,Sprint February 2013,2012-08-31,"","",0.00,0,2012-08-31 05:24,"","",782750,"","Once we have decided upon and announced the real product name of ""Phoenix"", we need to adjust urls, namespaces and documentation.

All stories and tasks related to this name introduction belong to this epic."
40468,Base Distribution,Story,"",Closed,Should have,As a user I want to get instructions how to fix file permissions on the first run,Robert Lemke,"",2012-10-04 10:02,Setup,Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-31 05:55,"","",1759800,0.00,"When Phoenix is downloaded / cloned from git and run without running the setfilepermissions command, the first hit will fail in most cases because the Data/* directory and others can't be created. Instead of displaying a hint on how to proceed, the raw PHP error messages slips through (see screenshot).

dod:

* catch error messages resulting from insufficient file permissions on first run
* display message which gives instructions on how to run the setfilepermissions command

Even better (if possible):

* redirect to setup tool
* provide instructions for setting file permissions
* check (through AJAX) if that worked out and proceed automatically if file permissions are fine"
40469,Base Distribution,Story,"",New,Could have,(low prio) As a user I want to get redirected to setup tool if install is incomplete,Robert Lemke,"",2012-09-14 06:23,Setup,"","","","",0.00,50,2012-08-31 05:58,"","",1762200,0.00,"If file permissions are fine but a database has not been set up yet, the application displays an SQLSTATE exception instead of redirecting to the setup tool.

DOD:

* if database settings are wrong or database setup is incomplete or if no account exists, redirect to setup tool"
40471,Base Distribution,Story,"",Closed,Should have,As a Administrator I don't want to look up the setup password if the server is my local machine,Robert Lemke,"",2012-09-13 05:12,Setup,"",2012-08-31,"","",0.00,0,2012-08-31 06:13,"","",2953850,"","In order to log into the setup tool, a user needs to look up the password stored in a file in ./Data/. This is a good security measure for remote servers, however we may be able to avoid this step for a local machine:

If we try to include the file through an iFrame (using the path, like file:///foo/bar/baz) and that file would contain JS sending the password to the parent frame, the password could be entered and submitted automatically if the user is using a browser from the same machine Phoenix is being installed at.

I'm not 100% sure if this is technically possible, but we might want to try this."
40472,Base Distribution,Story,"",Closed,Should have,As a administrator I want to be warned if the selected database already contains data,Robert Lemke,"",2012-10-04 10:02,Setup,Sprint 10 (1.0 TP1),2012-09-04,"","",0.00,0,2012-08-31 06:16,"","",1759850,0.00,"In the setup tool, a database can be selected which already contains data. A user should be informed about this and be able to decide if

* he wants to proceed anyway
* go back and choose / create a different database
"
40473,Base Distribution,Epic,"",New,Should have,Bootstrap based login screen,Robert Lemke,"",2012-08-31 06:17,"","",2012-08-31,"","",0.00,0,2012-08-31 06:17,"","",782850,"",""
40582,Base Distribution,Task,Story #40468: As a user I want to get instructions how to fix file permissions on the first run,Closed,Should have,TEST,Robert Lemke,Robert Lemke,2012-10-04 08:01,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,0,2012-09-04 04:47,"","",788300,0.00,""
40584,Base Distribution,Story,"",Closed,Should have,[Page Tree] As a user I want the page tree to respond quickly on expanding nodes,Robert Lemke,"",2012-10-04 05:08,Content Editing,Sprint 10 (1.0 TP1),2012-09-04,"","",0.00,0,2012-09-04 05:04,"","",1759600,"","DoD:

* pre-load _all_ page nodes
* for expanding a sub tree no additional HTTP request is necessary"
40585,Base Distribution,Story,"",Closed,Should have,[Page Tree] As a content editor I want to move pages by drag and drop,Robert Lemke,"",2012-10-04 09:06,"",Sprint 10 (1.0 TP1),2011-12-05,"","",0.00,0,2012-09-04 05:47,"","",1759450,0.00,""
40586,Base Distribution,Task,Story #40585: [Page Tree] As a content editor I want to move pages by drag and drop,Closed,Should have,"Fix drag and drop positioning: currently the drop marker icon positioning is wrongly calculated due to the ""new page"" toolbar.",Robert Lemke,Markus Goldbeck,2012-10-04 08:01,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 05:48,"","",788400,0.00,""
40587,Base Distribution,Story,"",Closed,Should have,[Page Tree] As a Content Manager I want to create a new page,Robert Lemke,"",2012-10-04 09:13,Content Editing,Sprint 10 (1.0 TP1),2012-09-04,"","",0.00,0,2012-09-04 05:56,"","",1759500,0.00,""
40588,Base Distribution,Story,"",Closed,Should have,[Page Tree] As a Content Manager I want to delete an existing page,Robert Lemke,"",2012-10-04 10:01,Content Editing,Sprint 10 (1.0 TP1),"","","",0.00,0,2012-09-04 05:56,"","",1759550,0.00,""
40591,Base Distribution,Task,Story #40588: [Page Tree] As a Content Manager I want to delete an existing page,Closed,Should have,Replace drop removal zone with delete icon in action toolbar for selected node,Aske Ertmann,Markus Goldbeck,2012-10-04 08:01,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 06:15,"","",788550,0.00,""
40599,Base Distribution,Story,Work Package #45013: Flexible plugin integration (TODO: Reviews),Resolved,Should have,Include arbitrary Flow-Applications as Plugins,Sebastian Kurfuerst,Marc Neuhaus,2013-12-20 11:37,Content Rendering,Sprint February 2013,2013-03-26,2013-04-20,"",0.00,100,2012-09-04 08:37,"","",1760250,0.00,"As a content editor, I want to include an arbitrary Flow-Application inside a page.

Definition of done:

* FLOW3 packages should run as plugin inside the frontend
* we use the Blog package as example
* the controllers and most of the views should be re-used"
40612,Base Distribution,Task,Story #40587: [Page Tree] As a Content Manager I want to create a new page,Closed,Should have,Remove add a new page by dragging,Markus Goldbeck,Markus Goldbeck,2012-10-04 08:01,"",Sprint 10 (1.0 TP1),2012-09-04,"",0.00,0.00,100,2012-09-04 10:17,"","",789500,0.00,Only possibility for adding a page should be clicking on the plus icon
40618,Base Distribution,Story,"",New,Should have,"[DISCUSS] As a user, I want to return to the last-used submodule when changing between main modules",Sebastian Kurfuerst,"",2013-01-29 08:18,"","","","","",0.00,0,2012-09-04 12:22,"","",1760850,"","Definition of Done:

* when clicking on the main module titles in the menu, the last-used submodule should be opened.
* we do not want a separate redirect for that
* there should be no side-effect across browser tabs (i.e. two tabs should not influence each other)
* the module overview can always be accessed through a special icon-link in the submenu (""tile-image"")

Technical Details:

* we give every browser window/tab an ID using window.name
* based on the browser window/tab and main module identifier, we store the last-visited module pages in local storage
* we intercept the main module links and replace them using JS"
40619,Base Distribution,Task,"Story #40330: [DISCUSS] As a Content manager, I want to identify specific content elements inside a list",Closed,Should have,Display a meaningful content element preview in lists,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 08:01,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,0,2012-09-04 12:38,"","",789800,0.00,""
40628,Base Distribution,Story,"",Closed,Could have,"As any user, I need a Content Module based on semantic technologies (IKS)",Rens Admiraal,"",2012-10-04 10:10,"",Sprint 10 (1.0 TP1),"","","",0.00,9,2012-09-04 17:15,"","",1759100,0.00,""
40629,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Add editor (aloha / hallo),Rens Admiraal,Rens Admiraal,2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 17:15,"","",790250,0.00,""
40630,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Add range to sections in schema,Rens Admiraal,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 17:15,"","",790300,0.00,""
40631,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,create collection widget with content handles,Rens Admiraal,Rens Admiraal,2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 17:16,"","",790350,0.00,""
40632,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Bind selected entity to the inspector panel,Rens Admiraal,Christopher Hlubek,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 17:16,"","",790400,0.00,""
40633,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,link plugin (for aloha / hallo),Rens Admiraal,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,0,2012-09-04 17:18,"","",790450,0.00,""
40634,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Make sure we can save changes to content,Rens Admiraal,"",2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 17:19,"","",790500,0.00,""
40635,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Rejected,Could have,(low prio) Basic workflow support,Rens Admiraal,"",2012-09-20 09:43,"",Sprint 10 (1.0 TP1),"","","",0.00,100,2012-09-04 17:20,"","",790550,"",""
40637,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Fetch templates for new content elements when they are created in the ui by clicking the 'new content element' handle,Rens Admiraal,"",2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-04 18:08,"","",790650,0.00,""
40652,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Make the notification plugin work,Rens Admiraal,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-05 07:54,"","",791400,0.00,""
40691,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Test / fix image handling,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:55,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:07,"","",793350,0.00,""
40692,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,"!! Fix ""create new content"" (test positioning of new content / nodes)",Sebastian Kurfuerst,Rens Admiraal,2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:07,"","",793400,0.00,""
40693,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,!! remove submodules for create.js and VIE,Sebastian Kurfuerst,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:07,"","",793450,0.00,""
40694,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,!! style content handles,Sebastian Kurfuerst,Aske Ertmann,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:08,"","",793500,0.00,"Christopher and Rens discussed that:

* we should use a twitter bootstrap button group with size button-mini: http://twitter.github.com/bootstrap/components.html#buttonGroups
* see attached ""screenshot"""
40695,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,re-implement copy / paste handles,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:08,"","",793550,0.00,""
40696,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,!! fix styling of notifications; use Create.js notifications,Sebastian Kurfuerst,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:09,"","",793600,0.00,""
40697,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,minify javascript for release,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:10,"","",793650,0.00,""
40698,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,!! test that starttime / endtime can be set using UI,Sebastian Kurfuerst,"",2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:10,"","",793700,0.00,""
40699,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,"!! test that ""title"" and ""hidden"" can be changed by the inspector panel",Sebastian Kurfuerst,"",2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:11,"","",793750,0.00,""
40700,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,"!! directly display nodes as hidden when the ""hidden"" flag is changed (greyed-out, as it was before)",Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:55,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:11,"","",793800,0.00,""
40701,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,"re-implement: if a changed property is marked as ""reloadOnChange: true"" in the schema, reload the current page",Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:55,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:12,"","",793850,0.00,""
40705,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,re-include aloha,Sebastian Kurfuerst,Rens Admiraal,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:15,"","",794050,0.00,""
40707,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,remove fontawesome,Sebastian Kurfuerst,"",2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 02:58,"","",794150,0.00,""
40708,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,!! move to review.typo3.org,Sebastian Kurfuerst,"",2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 03:00,"","",794200,0.00,""
40709,Base Distribution,Task,"Story #41101: As user, I want a well-working content editing (Bugfix Story)",Resolved,Should have,Display activity indicator on server communication (saving / publishing),Sebastian Kurfuerst,Christopher Hlubek,2012-10-17 03:47,"","","","","",0.00,100,2012-09-07 03:10,"","",794250,"",""
40710,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,"If you click publish, the button should be immediately deactivated",Sebastian Kurfuerst,Mattias Nilsson,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 03:12,"","",794300,0.00,""
40711,Base Distribution,Task,"Story #40329: As a content manager, I want to list and edit my Content and Domain Objects inside the Management view",Closed,Should have,create TYPO3.Expose on git.typo3.org and migrate TYPO3.Admin from mneuhaus' repository.,Sebastian Kurfuerst,Karsten Dambekalns,2012-10-04 05:00,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 03:17,"","",794350,0.00,""
40714,Base Distribution,Task,"Story #41101: As user, I want a well-working content editing (Bugfix Story)",Resolved,Should have,mark section+menu content elements as .t3-reloadable-content,Sebastian Kurfuerst,Christian Müller,2012-10-21 12:42,"","","","","",0.00,0,2012-09-07 03:29,"","",794400,"",""
40715,Base Distribution,Task,Story #40311: As a user I want the UI to respect the lights-off principle,Accepted,Should have,global overlays should have the same color / transparency,Sebastian Kurfuerst,Martin Muzatko,2012-11-30 10:43,"","","","","",0.00,0,2012-09-07 03:31,"","",794450,"",""
40716,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,!! check HTML content element behavior,Sebastian Kurfuerst,"",2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 03:34,"","",794500,0.00,""
40717,Base Distribution,Story,"",Postponed,Should have,"Add Launch Bar to other modules (Management, ...)",Sebastian Kurfuerst,"",2012-09-18 02:56,"","","","","",0.00,0,2012-09-07 03:35,"","",1762500,"",""
40718,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Could have,"(low prio) Fix ""inspect"" functionality (lower-left button)",Sebastian Kurfuerst,"",2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-07 03:37,"","",794550,0.00,""
40720,Base Distribution,Story,Work Package #45020: Content Editing Stability and Features,Closed,Could have,"As a content editor with small screen, I want to have a collapsable inspector",Sebastian Kurfuerst,"",2014-11-02 12:21,"",Sprint February 2013,2014-11-02,"","",0.00,50,2012-09-07 03:41,"","",1760650,0.00,""
40721,Base Distribution,Task,"Story #40720: As a content editor with small screen, I want to have a collapsable inspector",Closed,Could have,automatically collapse inspector on small page,Sebastian Kurfuerst,"",2014-11-02 12:21,"",Sprint February 2013,2014-11-02,"",0.00,0.00,0,2012-09-07 03:41,"","",794650,0.00,""
40722,Base Distribution,Task,"Story #40720: As a content editor with small screen, I want to have a collapsable inspector",Closed,Should have,Make inspector panel collapsible,Sebastian Kurfuerst,Aske Ertmann,2014-11-02 12:21,Content Editing,Sprint February 2013,2014-11-02,"","",0.00,100,2012-09-07 03:41,"","",794700,0.00,""
40723,Base Distribution,Task,Story #40469: (low prio) As a user I want to get redirected to setup tool if install is incomplete,Resolved,Should have,Implement configurable exception workflows,Sebastian Kurfuerst,Bastian Waidelich,2012-09-14 06:17,"","","","","",0.00,0,2012-09-07 03:45,"","",794750,"",""
40724,Base Distribution,Story,"",Closed,Should have,"As a first-time user, I want a login screen consistent with the remaining UI",Sebastian Kurfuerst,Robert Lemke,2012-10-04 08:50,Global User Interface,Sprint 10 (1.0 TP1),"","","",0.00,0,2012-09-07 03:46,"","",1759350,0.00,""
40725,Base Distribution,Task,Story #40469: (low prio) As a user I want to get redirected to setup tool if install is incomplete,New,Could have,display a message in login form if no account exists with a linl to the setup.,Sebastian Kurfuerst,"",2012-09-14 06:17,"","","","","",0.00,0,2012-09-07 03:47,"","",794800,"",""
40736,Base Distribution,Task,Story #40587: [Page Tree] As a Content Manager I want to create a new page,Closed,Should have,Adding pages with action bar,Markus Goldbeck,Markus Goldbeck,2012-10-04 08:01,Content Editing,Sprint 10 (1.0 TP1),2012-09-07,"",0.00,0.00,100,2012-09-07 10:12,"","",795350,0.00,"* click the plus icon
* a new page is created in the page tree below the current page (the new page is a sub page of the current page)
* if pages already existed below the current page, the new page is set to be the last of these sub pages
* if the level below the current page has been collapsed, it now is expanded
* the new page is in edit mode: the cursors blinks and the user can now enter a title
* only after the edit field looses context (that is, by pressing enter or clicking elsewhere), the new page is actually created"
40752,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Cleanup the new content element button,Rens Admiraal,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-08 08:28,"","",796150,0.00,""
40753,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Could have,Implement moving content elements,Rens Admiraal,Sebastian Kurfuerst,2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-08 08:53,"","",796200,0.00,""
40754,Base Distribution,Task,"Story #41101: As user, I want a well-working content editing (Bugfix Story)",Resolved,Must have,re-implement delete node,Rens Admiraal,"",2012-09-25 15:35,Content Editing,"","","","",0.00,100,2012-09-08 08:54,"","",796250,"",""
40755,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,!! Check the order of entities after save,Rens Admiraal,Rens Admiraal,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-08 08:54,"","",796300,0.00,""
40759,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Check the inspector button,Rens Admiraal,Sebastian Kurfuerst,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-08 11:00,"","",796500,0.00,""
40761,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,re-implement overlay for non-inline editable elements,Rens Admiraal,Rens Admiraal,2012-10-04 07:55,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-08 12:41,"","",796600,0.00,""
40762,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,"add button bar (create, paste, ...) in top of all sections; permanently visible",Rens Admiraal,Rens Admiraal,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-08 13:06,"","",796650,0.00,""
40764,Base Distribution,Task,"Story #41101: As user, I want a well-working content editing (Bugfix Story)",New,Could have,Check if we can remove the inject method in the \TYPO3\TYPO3\ViewHelpers\ContentElement\* ViewHelpers,Rens Admiraal,"",2012-09-20 06:05,"","","","","",0.00,0,2012-09-08 15:54,"","",796750,"",""
40786,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Must have,"HTML Editor does not work transactionally anymore (Edit HTML, do NOT press apply --> changes are directly applied)",Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:53,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-10 07:29,"","",797850,0.00,""
40789,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,"!! after an in-page reload, the content element handles disappear",Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:50,"",Sprint 10 (1.0 TP1),"","","",0.00,100,2012-09-10 08:20,"","",798000,"",Bonus task: Save the currently selected node and restore it after reload.
40790,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,hallo controls broken --> because images are not there anymore,Sebastian Kurfuerst,Mattias Nilsson,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-10 08:22,"","",798050,0.00,"The Hallo editor (see screenshot) uses icons based on Fontawesome (http://fortawesome.github.com/Font-Awesome/). However, these icon CSS classes *collide* with the glyphicons provided by Twitter Bootstrap 2.

As a result, the editing controls are not visible anymore (see screenshot). To reproduce, just select a text in editing mode and see the black boxes to appear ;-)

To fix, we either find a way to include fontawesome icons in a way that they do not collide with our twitter bootstrap icons, or we add the necessary CSS and use twitter bootstrap icons inside the hallo editor."
40818,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Fix wireframe mode section editing,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:55,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-11 07:48,"","",799400,0.00,"TypeError: T3.Content.Model.BlockManager is undefined, pageBlock = T3.Content.Model.BlockManager.get('_pageBlock');"" in FireFox console when try to create a new section with Wireframe mode on an empty kickstarted site.



createSection: function(sectionName) {

			var pageBlock = T3.Content.Model.BlockManager.get('_pageBlock');

Does not exist"
40852,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Button-Bar should be positioned using jQuery UI position,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-12 03:29,"","",801050,0.00,"Currently the handles to add/delete/move content are displayed manually inside ui/elements/contentelement-handles.js around line 61.

However, this seems to break depending on the site's CSS quite often (for example on the flow3.org website).

Thus, we want to replace the manual positioning with using jQuery UI position helper: http://jqueryui.com/demos/position/#events

*Bonus:* If possible make the handles appear only when the content element is active, and not on hover. This should make the UI more visually ""stable""."
40853,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,show editing controls only for active element,Sebastian Kurfuerst,Mattias Nilsson,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-12 03:37,"","",801100,0.00,""
40860,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,!! an added element is not properly initialized in VIE,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:55,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-12 06:24,"","",801450,0.00,"Steps to reproduce:

* create a new content element through the UI
* then, if you do: require('vie/instance').entities.models
* pick the last, just created one; and expand ""attributes""
* they are EMPTY except subject and type, even if the template contained them.

* when checking the HTML source, the attributes are all there."
40886,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,Fix non-existing section exception,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:54,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-13 02:52,"","",802700,0.00,""
40887,Base Distribution,Task,"Story #40628: As any user, I need a Content Module based on semantic technologies (IKS)",Closed,Should have,"Trigger loading indicator if we know a page load will happen (f.e. when pressing ""apply"")",Sebastian Kurfuerst,Sebastian Kurfuerst,2012-10-04 07:52,"",Sprint 10 (1.0 TP1),"","",0.00,0.00,100,2012-09-13 02:52,"","",802750,0.00,""
