#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
45021,Base Distribution,Work Package,"",New,Should have,[WIP] [ASSIGNEE MISSING] Cross Browser Compatibility,Sebastian Kurfuerst,"",2014-10-02 05:26,Content Editing,1.0 beta 1,2012-09-03,"","",0.00,100,2013-01-31 07:43,"","",1003350,0.00,"h1. Internet Explorer Compatibility

* Target Audience: *users* who use the Internet Explorer browser
* Responsible: XY, TODO
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *not planned yet*
* Planned Implementation Timeframe: X - Y

h2. Motivation

We do not want to limit the user's choice in terms of which browser he uses. That means the backend must work in mainstream browsers Firefox, Chrome, Internet Explorer. While we continually test with Firefox and Chrome, we do not do this for IE.

h2. Goal

Make content editing work with Internet Explorer.

h2. Deliverables

* required: first, fix IE10
* required: then, fix IE9
* optional: if possible, fix IE8"
45023,Base Distribution,Work Package,"",Accepted,Should have,"Make complex, interactive custom content types possible",Sebastian Kurfuerst,"",2013-02-16 08:59,Content Editing,1.0 beta 1,2013-01-31,"","",0.00,0,2013-01-31 07:51,"","",1003450,"","h1. Make complex, interactive custom content types possible

* Target Audience: *integrators* who want to configure custom content types like image sliders
* Responsible: *The Whole Neos Team*
* Implemented by: *The Whole Neos Team*
* Amount: continual. *done on voluntary basis*
* Version: *must have* for 1.0
* Planned Implementation Timeframe: continual.

h2. Motivation

Website content does not only consist of text, images and other static content types, but also of e.g. image or content sliders, accordions, or other interactive elements such as time sliders. We want to make such more complex content elements editable.

h2. Goal

We want to test building complex content types such as content sliders or accordions. The found obstacles should be solved, and the resulting solution should be documented in the Neos Integrator Guide.

h2. Deliverables

* build at least three complex content types
* fix bugs which occur during this phase
* document the creation of such complex content elements in the Neos Integrator Guide"
45024,Base Distribution,Work Package,"",New,Should have,[WIP] Context sensitive help in the Neos Backend (accessibility step 2),Rens Admiraal,Rens Admiraal,2013-10-22 15:33,Content Editing,"",2013-05-16,"","",0.00,0,2013-01-31 07:51,"","",1003500,0.00,"h1. Accessibility of the Neos Backend

* Target Audience: *power users or people with disabilities"" who want to edit content using the keyboard or assistive devices like screen readers
* Responsible: Rens Admiraal <rens.admiraal@typo3.org>
* Implemented by: Rens Admiraal, Patrick Broens
* Amount: 20 work days
* Version: *nice to have* for 1.1
* Planned Implementation Timeframe: X - Y

h2. Motivation

People with disabilities can have huge problems using webapplications. There are specifications available like WAI-ARIA which can be used for enabling those people to use all features the Neos interface offers.
A power user is used to using keyboard shortcuts and navigation. As the WAI-ARIA specification already requires keyboard navigation the power user will have a faster editing experience.

h2. Goal

This work package extends http://forge.typo3.org/issues/45007 and aims for further implementation of the WAI-ARIA specification with most importantly the context sensitive help. Furthermore the interface will be tuned so all elements are descriptive for their role and usage.

h2. Deliverables

* Context sensitive help with tooltips (localization, based on WAI-ARIA specification)
* WAI-ARIA compatible WYSIWYG editor (with correct descriptions of elements and correct navigation)
* Check and adapt the interface for correct contrast for readability
* Change the backend so all components have the right descriptions and labels
* Documentation
* Publications"
45025,Base Distribution,Work Package,"",New,Should have,[WIP] Create minimal publishing workflow,Sebastian Kurfuerst,Robert Lemke,2013-01-31 07:53,"","",2013-01-31,"","",0.00,0,2013-01-31 07:53,"","",1003550,"","h1. Create minimal publishing workflow

* Target Audience: *content editors* who to collaboratively work on the website
* Responsible: Robert Lemke
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *not planned yet*
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45028,Base Distribution,Task,Story #44920: Keyboard shortcuts for content editing,Accepted,Should have,Document available keystrokes,Rens Admiraal,Rens Admiraal,2013-01-31 08:58,"",Sprint February 2013,"","","",0.00,0,2013-01-31 08:58,"","",1003700,"",""
45032,Base Distribution,Task,"",Resolved,Must have,Oudated install documentation,Christian Jul Jensen,Karsten Dambekalns,2013-05-05 17:05,Documentation,1.0 beta 1,2013-01-31,"","",0.00,100,2013-01-31 10:20,"","",1003900,"",http://neos.typo3.org/documentation/gettingstarted/installation.html is completely outdated. Should be updated to reflect composer changes.
45033,Base Distribution,Task,"",Resolved,Should have,Should we really suggest '--dev' for demo installation?,Christian Jul Jensen,Karsten Dambekalns,2013-05-05 17:04,Documentation,1.0 beta 1,2013-01-31,"","",0.00,100,2013-01-31 10:22,"","",1003950,"",I don't think the '--dev' composer should be recommended for anything else than installing for development. It is currently recommended on the download page's installation-instructions
45034,Base Distribution,Task,"",Resolved,Could have,Mention setfilepermissions in install instructions,Christian Jul Jensen,Karsten Dambekalns,2013-05-05 17:04,Documentation,1.0 beta 1,2013-01-31,"","",0.00,100,2013-01-31 10:27,"","",1004000,"","Even though the setup tool notifies about it, I think it will be a better experience if it's mentioned in the install instructions as it feels like an error and most people probably will need to do it."
45035,Base Distribution,Task,"",New,Could have,'First visit' guide,Christian Jul Jensen,"",2013-03-28 07:24,Global User Interface,"",2013-01-31,"","",0.00,0,2013-01-31 10:42,"","",1004050,"","Would be cool to have somekind of guided tour for a user upon the first visit of the Backend.

Lots of SaaS tools has this, see example from kanbantool.com"
45037,Base Distribution,Task,"",New,Should have,[DEMOSITE] Link to be from frontpage ,Christian Jul Jensen,"",2013-01-31 11:10,General / Project,1.0 beta 1,2013-01-31,"","",0.00,0,2013-01-31 11:10,"","",1004150,"",There should be a link from the frontpage of the demo-site to the BE. If you dont know where to go it will be hard to figure out.
45038,Base Distribution,Task,"",New,Could have,[DEMOSITE] Design that doesnt blend in as well,Christian Jul Jensen,"",2013-01-31 11:12,General / Project,"",2013-01-31,"","",0.00,0,2013-01-31 11:12,"","",1004200,"","I think the demosite and the BE blends in to well, when you look at it for the first time. It could be clearer what is website and what is cms.

Maybe if we have a demosite that doesn't rely so heavily on the same colors and the general CI it would be clearer."
45048,Base Distribution,Story,"",Resolved,Should have,"If Page Tree is sticky, it should push the page to the right side, adjusting the body-margin.",Sebastian Kurfuerst,Mattias Nilsson,2013-02-08 14:37,Content Editing,Sprint February 2013,2013-01-31,"","",0.00,100,2013-01-31 12:57,"","",2955350,"",That's a cleanup for #44994.
45049,Base Distribution,Task,"",New,Should have,Remove dependency on midgardNotifications,Rens Admiraal,"",2013-01-31 12:58,"","",2013-01-31,"","",0.00,0,2013-01-31 12:58,"","",1004700,"","Currently createjs depends on midgardNotifications. There is an issue on github to fix that ( https://github.com/bergie/create/issues/147 ). We should remove the full repository, but till then we've a wrapping Midgard.midgardNotifications widget. This should by that time be removed (code marked with TODO and issue number)"
45088,Base Distribution,Work Package,"",Resolved,Should have,Improved REST support,Bastian Waidelich,Bastian Waidelich,2014-02-09 10:16,General / Project,1.0 beta 1,2011-05-29,2013-04-13,108.00,108.00,100,2013-02-01 13:06,"","",1006650,0.00,"h1. Improved REST support

* Target Audience: *developers* who want to use Neos
* Responsible: ""Bastian Waidelich (click to contact)"":http://forge.typo3.org/users/61
* Implemented by: ""Bastian Waidelich (click to contact)"":http://forge.typo3.org/users/61, ""Andreas Förthner (click to contact)"":http://forge.typo3.org/users/19
* Amount: 18 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: week 7 to 14, 2013

h2. Motivation

A solid webservice interface provides countless possibilities. With a proper foundation it would easily be possible to expose the TYPO3 Content Repository as service for instance. This would allow other systems to interact with arbitrary nodes (e.g. mobile clients creating pages, a simple plugin creating content nodes, ...).
Another use case are custom service APIs for the clients business logic. Flow already provides basic support for that, but there are some important parts missing.

h2. Goal

The goal is to have a solid foundation to easily provide custom REST APIs. What has been started at #37604 will be used as base for this.

h2. Deliverables

* *MUST*: more flexible request handling
** Reworked argument merging #45290 - this is required in order to fix argument mapping with non-GET requests
** More flexible parsing of body arguments #45293 - this is required in order to support custom request formats
* *MUST*: Routing improvements
** Global route constraints #27117 - this is required in order to match requests based on the request method and/or arbitrary request headers
** Nested sub routes #43966 - this is required in order to allow developers to easily include ""RESTful"" routes
* *MUST*: session-less authentication #45282 - currently Flow creates a session for every authentication, this is incompatible with REST
* *MUST*: solid test coverage
* *MUST*: documentation
* *COULD*: improved error handling #43569 - currently exceptions are rendered independently from the requested format (HTML for all web requests)
* *COULD*: exemplary (mobile) client that interacts with the TYPO3CR"
45099,Base Distribution,Story,"",New,Should have,As a user I want the Ui to handle an expired session correctly,Christopher Hlubek,"",2013-02-03 14:48,"",1.0 beta 1,"","","",0.00,0,2013-02-03 04:43,"","",1757250,"",""
45217,Base Distribution,Work Package,"",New,Should have,[WIP][Assignee missing] External & internal link support,Sebastian Kurfuerst,"",2013-12-07 14:02,"",1.0 beta 1,2013-03-22,"","",0.00,50,2013-02-06 13:17,"","",1012950,0.00,"h1. External & internal link support

* Target Audience: *users* who want to link between pages or want to check link status
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *for 1.0*
* Planned Implementation Timeframe: X - Y

h2. Motivation

Linking to internal and external resources is a key feature of any CMS and are fundamental to the WWW. As such, providing easy to use and convenient support for linking is simply a must have.

h2. Goal

Linking to internal resources should be very easy, possibly using some link wizard / browser. Links to internal resources should never break; if targets are moved or deleted, links should adapt automatically. For links to external resources some checking would be nice to have, so dead links can be detected. Links to the site (from the outside) should be maintained as good as possible as well - if a page is moved a redirect should occur instead of a 404 - and if pages are deleted providing a proper 410 response is advisable.

h2. Deliverables

* Link plugin for Hallo / Aloha
* Update Aloha Integration
* redirect management for moved pages
* page removal results in 410 being sent
* outbound link checker
* 404 logging for incoming requests"
45309,Base Distribution,Task,"",Resolved,Must have,Rename TYPO3.Neos.ContentTypes package to TYPO3.Neos.NodeTypes,Sebastian Kurfuerst,Karsten Dambekalns,2013-05-23 17:00,"",1.0 beta 1,2013-02-09,"","",0.00,100,2013-02-09 05:04,"","",1017550,"",... to be in line with the renaming of #44955 and #44982
45310,Base Distribution,Story,"",New,Should have,Implement enhanced @position syntax known from TypoScript also in the property panel inspector editors,Sebastian Kurfuerst,"",2013-02-09 05:15,Content Editing,1.0 beta 1,2013-02-09,"","",0.00,0,2013-02-09 05:06,"","",2955450,"","TODO decide: should the property also be named ""@position"" in the YAML schema? Probably not, but not sure currently..."
45317,Base Distribution,Task,"",Resolved,Must have,Refine / Rename node type hierarchy,Sebastian Kurfuerst,Karsten Dambekalns,2013-05-26 12:14,Content Editing,1.0 beta 1,2013-02-09,"","",0.00,100,2013-02-09 08:34,"","",1017900,"","... as discussed with Robert on the code sprint

h2. Naming Concept

<pre>
# Node Types
old name: Content Types

## Node

## Hidable (mixin)

- defines the properties for ""hidden"", ""hiddenBeforeDateTime"", ""hiddenAfterDateTime""

## Versionable (mixin)

- adds the behavior to store multiple versions of the node

## Translatable (mixin)

- adds the behavior to translate nodes

## Folder < Node

- used for organizing nodes
- does not need an external identity, thus no URL.

## Smartfolder < Folder

- does not contain actual sub nodes
- collection is defined through a query

## Document < Node, Hidable
old name: Folder

- is ""abstract"", cannot be rendered as is
- sub types of Document:
	- can be addressed through a URI
	- contains one or more Section nodes which may contain content
	- can be rendered
- TODO remove title property
- TODO page tree > document tree (?)

## Page < Document

- is the default document paradigm in Neos
- introduce further properties, for example a title

## Shortcut < Document

- refers / forwards to another document

## Blog Post < Document

- introduces specific properties and sub structure

## Content < Node, Hidable
old name: ContentObject

- is not usually accessible through a URI
- can be rendered as part of a document
- may contain further content
- cannot contain documents

## Headline < Content

- introduces specific properties and template
- further content types: Text, Image, TextWithImage, Menu, Html, Plugin, Two-Columns, ?

## Plugin < Content

- delegates rendering of the content to a controller

## ContentCollection < Content
old name: Section

- contains content nodes
</pre>


h2. see attached images."
45399,Base Distribution,Work Package,"",Resolved,Should have,Product Management / Team Coordination,Robert Lemke,Robert Lemke,2013-05-21 03:36,General / Project,1.0 beta 1,2013-03-01,2013-05-17,90.00,0.00,100,2013-02-12 03:18,"","",1022000,"","h1. Product Management / Team Coordination

* Target Audience: team / general public
* Responsible: ""Robert Lemke (click to contact)"":https://forge.typo3.org/users/8
* Amount: 15 work days
* Version: *must have* for 1.0

h2. Description

The team and contributor's efforts need to be coordinated with the end user and overall concept in mind in order to not end up with a patch work solution of individual components glued together. This work package is about spending a day per week for the product management and communication with those working on specific features.

Depending on how much communication and coordination is necessary, some part of the weekly day can additionally be used for related tasks, such as communicating the current state and roadmap or improving the Neos website.

h2. Goal

* establish a day per week where the project lead is available for questions regarding the feature set, possible impediments or technical decisions
* keep an eye on the consistency and overall user experience and communicate findings and possible measurements to the team
* discuss feature details through hangouts / chats / email and create feature descriptions / stories / wireframes


h2. Deliverables

* a brief summary of what happened product / feature wise, which will be included into the monthly team report
* a maintained product backlog with prioritized stories
* decisions / conclusions from meetings with individuals are communicated to the mailing list

"
45400,Base Distribution,Work Package,"",New,Should have,[WIP] Developer Toolbar (Community),Christian Müller,"",2014-01-30 08:31,"","",2013-02-12,"","",0.00,0,2013-02-12 03:32,"","",1022050,"","h1. Debug Toolbar for Neos Integrators

* Target Audience: *Developers* and *integrators* that need information about what is going on during rendering. 
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: 
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45408,Base Distribution,Work Package,"",Accepted,Should have,Frontend / Page Cache,Robert Lemke,Robert Lemke,2013-05-16 04:47,General / Project,1.0 beta 1,2013-03-04,2013-04-30,90.00,3.00,10,2013-02-12 07:18,"","",1022450,"","h1. Basic Frontend / Page Cache

* Target Audience: *users* who browse the frontend of a Neos website
* Responsible: Robert Lemke
* Implemented by: Robert Lemke
* Amount: 15 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: March - April 2013

h2. Motivation

Neos does not, so far, provide any sort of page cache. The has been from the beginning to rely on established HTTP mechanisms instead and use cache control directives and mechanisms like Edge Side Includes instead. The advantage of this approach is to not re-invent front end caching and being able to delegate this to highly performant proxies like Varnish.

Neos should, however, be production ready as is, without the need for a reverse proxy. Therefore Flow should provide a basic reverse proxy itself and thus be able to cache responses if no Varnish is used. As a first step, Flow has been refactored in 2011 / 2012 to provide or more modular bootstrap and an HTTP foundation. What's missing now is the actual usage of cache headers in Neos and a rudimentary reverse proxy integrated into Flow (and thus used by Neos).

h2. Goal

Implement a reverse proxy for TYPO3 Flow which can basically cache HTTP responses according to the mechanisms specified in RFC 2616 and deliver them to a client if a cached response is available. The reverse proxy should also support purging / banning of single or multiple cache entries ? this mechanism can then be used by Neos for invalidating cache entries of pages which have been modified.


h2. Deliverables

* MUST: Reverse Proxy for TYPO3 Flow which can basically cache HTTP responses and return them on request
* MUST: Neos sets cache control headers / expiry times according to some global configuration
* MUST: Reverse Proxy allows for purging / banning single or multiple cache entries
* MUST: Documentation
* COULD: E-Tag Support
* MAYBE: Edge Side Includes support"
45410,Base Distribution,Work Package,"",New,Should have,[WIP] TypoScript Debugger (Community),Christian Müller,"",2013-02-12 08:18,"","",2013-02-12,"","",0.00,0,2013-02-12 08:18,"","",1022550,"","h1. TypoScript Debugger

* Target Audience: *Developers* and *integrators* that need information about what happens in TypoScript and work a lot with TypoScript.
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: 
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45434,Base Distribution,Story,Work Package #45020: Content Editing Stability and Features,Closed,Should have,As a content editor I want to be able to edit normal content,Aske Ertmann,"",2014-11-02 12:21,Content Editing,1.0 beta 1,2013-03-11,"","",0.00,67,2013-02-13 05:41,"","",2955500,0.00,"It should be possible for the content editor to edit all types of normal content

Cut, copy, paste, redo, undo, find, replace, bold, italic, underlined, strikethrough, sup, sub, remove format, ul/ol lists, increase/reduce indent, text positioning (left, center, right, justify), insert links, tables, horizontal ruler, block format (h1, h2, h3, h4, h5, h6, formatted, address, normal, article, aside, container, header, navigation, blockquote), font-family, font-size, font-color, background-color, source mode (HTML)."
45435,Base Distribution,Story,Work Package #45020: Content Editing Stability and Features,Closed,Should have,As a content editor I want to be aware when asynchronous loading is taking place,Aske Ertmann,"",2014-11-02 12:22,Global User Interface,1.0 beta 1,2013-02-13,"","",0.00,100,2013-02-13 05:43,"","",2955550,0.00,"When adding new content element the content editor should be able to see that an action is being processed and the result is awaiting..

This applies to everything that pauses the user in his task"
45453,Base Distribution,Task,"",New,Must have,Concept of launcher/search/dashboard/module tabs,Aske Ertmann,"",2013-02-13 08:16,General / Project,1.1,2013-02-13,"","",0.00,0,2013-02-13 08:16,"","",1024600,"","We need a solid concept for the launcher/dashboard/module tabs.

This should also be included in the modules"
45455,Base Distribution,Epic,"",New,Could have,Different tree types (nodes),Aske Ertmann,"",2014-03-12 17:18,"",1.1,2013-02-13,"","",0.00,0,2013-02-13 08:23,"","",1024700,"","It would make sense to support more than just pages in the tree view so it would be possible to get an overview of e.g. news or blog posts in the tree panel ordered by date like Year > Month (> Day). This is a way of introducing creation, deletion, navigation of non pages, but node types that can be filtered naturally and would usually act as a page on its own.

The ordering should be configurable and support dates or the default node hierarchical structure."
45501,Base Distribution,Task,"",New,Should have,Image Metadata in ContentEditing should be cached,Christian Müller,"",2013-02-15 03:49,"","",2013-02-15,"","",0.00,0,2013-02-15 03:49,"","",1027000,"","To avoid loading the metadata for images in content again and again we should cache it once it was loaded.

Packages/Application/TYPO3.Neos/Resources/Public/JavaScript/neos/content/ui/editors.js -> _readAndDeserializeValue() is where the loading happens."
45539,Base Distribution,Work Package,"",New,Should have,[EPIC] Mangement view,Aske Ertmann,"",2013-04-10 15:13,"",1.1,2013-02-16,"","",0.00,0,2013-02-16 15:56,"","",1028850,"","h1. Mangement view

* Target Audience: *users* want to edit nodes/domain models in a list view
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *not planned yet*
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45540,Base Distribution,Work Package,"",New,Should have,[EPIC] Search,Aske Ertmann,"",2014-01-30 08:23,"",1.1,2013-02-16,"","",0.00,0,2013-02-16 15:58,"","",1028900,"","h1. Search

* Target Audience: *users* want to search for nodes/domain models in the content & management view
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *not planned yet*
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]

* Should probably support Lucene search database like Solr & Elastic Search with a kind of indexing and search api layer, and then we should provide a fallback package that can use Mysql/PostgreSQL to index and search using the same API."
45563,Base Distribution,Task,"",Resolved,Could have,Neos renaming issue: TYPO3.TYPO3 leftover in persistence,Adrian Föder,Adrian Föder,2013-02-19 09:38,Low Level,Sprint February 2013,2013-02-18,"","",0.00,100,2013-02-18 04:37,"","",1030050,"","in TYPO3\TYPO3CR\Domain\Model\ContentObjectProxy's database table, I had still a ""TYPO3\TYPO3\Domain\Model\Site"" in the @targettype@ column.

<pre>
mysql> SELECT * FROM typo3_typo3cr_domain_model_contentobjectproxy\G
*************************** 1. row ***************************
persistence_object_identifier: d8a4eaeb-fcab-46ea-a73a-005c010e2de6
                   targettype: TYPO3\TYPO3\Domain\Model\Site
                     targetid: 5cfc4af5-c9ac-4521-b11c-61116b0114d1
1 row in set (0.00 sec)
</pre>"
45584,Base Distribution,Work Package,"",New,Should have,Access Control for TYPO3CR Nodes (Concept),Sebastian Kurfuerst,"",2014-01-10 13:45,"",1.1,2013-02-18,"","",0.00,0,2013-02-18 15:17,"","",1031050,"","h1. Access Control on TYPO3CR Nodes

This concept discusses how to do access control on nodes. It has been created by Andi Förthner, Sebastian Kurfürst, and Helmut Hummel during T3BOARD13.

h2. Security Framework in a nutshell

In this section, we quickly describe how authorization in the security framework works with *Policies*,
to again have a common basis for later.

Access is granted or denied for *Resources*, according to the following rules:

# not-explicitely-specified resources are implicitely ALLOWed.
# (roughly)if AT LEAST ONE of the current roles defines a GRANT on a resource, access is GRANTED. The full rules follow below:
## DENY always wins, so if ONE role is DENIED access, this will win.
## otherwise, if at least one role says GRANT, you are allowed to access the resource
# if a resource is explicitely defined, but none of the current roles defines an ACL on it, this defaults to DENY (""Abstain Case"")
# if multiple resources match on a given code point, ALL resources must be evaluated to ALLOW (ANDed together)

h3. Mapping to nodes

We want to apply as many as possible of the above concepts to *nodes* as well, meaning the following:

* we need to think about what a ""resource"" is for nodes
* we will use roles as usual
* we will use ACLs (== mapping between roles and resources) as usual

So we essentially need to solve the question: *What are resources on nodes, and how to define them?*

A *resource* on a set of nodes could be defined in various ways: For instance, we could explicitely enumerate the nodes
which are part of this resource. However, this is quite cumbersome, as this list would need to be manually maintained.

Instead, people often want to assign permissions based on certain properties of nodes, for example ""I want to ALLOW
creation if TEXT elements"" (here, the *node type* of the node should be matched on).

Because of that, we do *not* want to explicitely enumerate a resource based on nodes, but instead
want to *create a boolean function which decides whether a certain node is inside the resource or not*

For creating this boolean function, we want to use the *Eel language*, as it provides predefined syntax,
making it possible to focus on the semantics for us.

To sum it up: A *resource* on a set of nodes is an *Eel Expression* matching these nodes. Example:

	// Resource for all text nodes
	q(node).is('instanceof Text')

	// resource for all nodes of a site
	q(node).inSite('TYPO3.NeosDemo')

	// Resource for all nodes whose ""text"" property starts with ""hi""
	// -> a little dangerous, but nevertheless possible
	q(node).is('text ~= Hi')

	// ALLOW creation of ""Text"" child node underneath three column node
	( creation() || deletion() )
	&& q(node).is('instanceof Text')
	&& q(node).parent('insanceof ThreeColumn')


h3. Properties of the node mapping

* the whole evaluation is order independent, meaning we do not need priorities, !important or anything like that
"
45587,Base Distribution,Task,Story #45434: As a content editor I want to be able to edit normal content,Closed,Should have,Re-enable Aloha,Sebastian Kurfuerst,Sebastian Kurfuerst,2014-11-02 12:21,Content Editing,1.0 beta 1,2013-07-11,"",0.00,0.00,100,2013-02-18 17:29,"","",1031200,0.00,We want aloha to work again; and we want to include a minified and properly built version.
45758,Base Distribution,Story,"",Accepted,Should have,Provide a way to control escaping of content through TypoScript,Sebastian Kurfuerst,Sebastian Kurfuerst,2013-02-22 11:03,Content Rendering,1.0 beta 1,2013-02-22,"","",0.00,0,2013-02-22 10:59,"","",2955650,"","Currently, we always use *f:format.raw* ViewHelper inside all Content Element templates... The
problem with that is that it's very *unsafe*, disabling the complete security which was in-built.

Enabling it in all cases is not nice as well, as we need to control that on a case-by-case basis.

That's why we want to introduce a SafeString class, which is directly rendered without any escaping; while in the default case,
the escaping should stay active."
45839,Base Distribution,Task,Work Package #45020: Content Editing Stability and Features,Closed,Should have,As a content editor I want the inspector fields to be validated,Aske Ertmann,Aske Ertmann,2014-11-02 12:22,Content Editing,1.0 alpha 5,2014-11-02,"",0.00,0.00,100,2013-02-25 15:42,"","",1043500,0.00,""
45957,Base Distribution,Task,Work Package #45020: Content Editing Stability and Features,Closed,Should have,Improve linkpicker styling,Mattias Nilsson,Mattias Nilsson,2014-11-02 12:22,"","",2013-03-02,"","",0.00,100,2013-03-02 03:40,"","",1049300,0.00,Improve linkpicker styling
45973,Base Distribution,Story,Work Package #45020: Content Editing Stability and Features,Closed,Could have,As a content editor I want improved image handling,Aske Ertmann,Adrian Föder,2014-11-02 12:22,Content Editing,1.0 beta 1,2013-05-08,"","",0.00,100,2013-03-02 13:19,"","",2955700,0.00,"* Title
* Alt
* Description (caption)
* Link
* Alignment
* Caption alignment"
46182,Base Distribution,Task,Story #45434: As a content editor I want to be able to edit normal content,Closed,Should have,Compare CKEditor to Aloha,Aske Ertmann,"",2014-11-02 12:21,"",1.0 beta 1,2013-03-11,"",0.00,0.00,0,2013-03-11 11:38,"","",1060500,0.00,"Since there are some features we'd like to achieve that aren't supported in Aloha and the fact that Drupal ditched Aloha after closely working with them in favor of CKEditor (http://buytaert.net/from-aloha-to-ckeditor).

Example of CKEditor inline editing http://ckeditor.com/demo#inline

Wanted features: Cut, copy, paste, redo, undo, find, replace, bold, italic, underlined, strikethrough, sup, sub, remove format, ul/ol lists, increase/reduce indent, text positioning (left, center, right, justify), insert links, tables, horizontal ruler, block format (h1, h2, h3, h4, h5, h6, formatted, address, normal, article, aside, container, header, navigation, blockquote), font-family, font-size, font-color, background-color, source mode (HTML).

h3. Aloha

*Pros*
* Already integrated
* Existing link plugin
* Close connection to development team

*Cons*
* Not so solid user experience
* Missing wanted features
** Redo, undo, find, replace, increase/reduce indent, text positioning (left, center, right, justify), font-family, font-size, font-color, background-color, source mode (HTML)
* Unable to re-use for textarea (RTE)

h3. CKEditor

*Pros*
* Supports all wanted features
* Same editor for inline editing and textarea (RTE)
* Already working with create.js (Implemented by Bergie)
* Can be used instead of both Aloha and Hallo
** Simple editing options for headlines
** Advanced editing options for text
* More solid user experience
* Larger community / more developers / more extensions
* Better default design

*Cons*
* Not already implemented
* Missing link plugin"
46295,Base Distribution,Task,Work Package #45020: Content Editing Stability and Features,Closed,Should have,Active content element border is hidden,Mattias Nilsson,Mattias Nilsson,2014-11-02 12:22,Content Editing,1.0 beta 1,2013-03-14,"","",0.00,100,2013-03-14 15:17,"","",1065950,0.00,When having an content element with multiple elements inside the border is hidden beneath other elements.
46321,Base Distribution,Task,Work Package #45013: Flexible plugin integration (TODO: Reviews),Resolved,Should have,Plugins with Views should resolve their Links automatically,Marc Neuhaus,Marc Neuhaus,2013-10-08 04:47,"","",2013-03-15,2013-04-20,"",0.00,100,2013-03-15 08:24,"","",1067250,"","Through the Concept of Plugins and PluginVIews (#45013) links need to be rewritten to a different PageNode if the current PluginView/Plugin on this Page isn't supposed to render the Controller/Action that a link it pointing to.

The main goal of this is a simple way to have List/Detail Actions on different PageNodes without to much manual Configuration hassle."
46323,Base Distribution,Task,"",Closed,Should have,Documentation for the Flexible plugin integration,Marc Neuhaus,"",2013-03-18 10:04,"","",2013-03-15,"","",0.00,0,2013-03-15 08:26,"","",1067350,"",""
46322,Base Distribution,Task,Work Package #45013: Flexible plugin integration (TODO: Reviews),Resolved,Should have,Documentation for the Flexible plugin integration,Marc Neuhaus,Marc Neuhaus,2014-01-30 07:58,"","",2013-03-15,2013-04-20,"",0.00,60,2013-03-15 08:26,"","",1067300,"",""
46324,Base Distribution,Task,Work Package #45013: Flexible plugin integration (TODO: Reviews),Resolved,Should have,Example plugin showing off the Flexible plugin integration,Marc Neuhaus,Bastian Waidelich,2014-01-30 08:01,"","",2013-03-15,"","",0.00,100,2013-03-15 08:27,"","",1067400,"",""
