#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
4488,TYPO3.Fluid,Bug,"",Resolved,Must have,SubmitViewHelper ignores name/value attributes,Morton Jonuschat,Bastian Waidelich,2010-10-20 05:44,"","",2009-09-08,"","",100,2009-09-08 08:05,"","",2599450,"","","","The Fluid / Form SubmitViewHelper ignores name and/or value attributes given in the tag.

Attached patch fixes this bug.
"
4492,TYPO3.Fluid,Bug,"",Resolved,Must have,ViewHelper render method arguments not initialized/passed correctly,Frans van der Veen,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-09-08,"","",100,2009-09-08 10:04,"","",2599400,"","","","Hi,

Tx_Fluid_Core_ViewHelper_AbstractViewHelper::prepareArguments initializes arguments in the wrong order, or so it appears. This causes the arguments passed to the render() method not having any value.

First registerRenderMethodArguments is called (which set the flag isMethodParameter for the arguments), then initializeArguments is called, which if it has arguments with the same name will overwrite the arguments created by registerRenderMethodArguments.

You can test by changing the 'value' or 'name' parameter in a form.submit tag:
<f:form.submit value=""Gogogo!"" />

Solution: change the order in which initializeArguments and registerRenderMethodArguments() are called in Tx_Fluid_Core_ViewHelper_AbstractViewHelper::prepareArguments. 
(It appears to be working for the form.submit ViewHelper when I do so)

Regards,

Frans"
4648,TYPO3.Fluid,Feature,"",Resolved,Should have,Enhance the textbox viewhelpter to be capable of type=password,Nikolas Hagelstein,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-09-16,"","",100,2009-09-16 05:39,"","",2599350,"","","","Currently it's not possible to use the textbox viewhelper to render a password (i.e. <input type=""password""...) textfield.
Due to possible changes of namespaces during develepment specifying it by ""hand"" is very error-prone thing.
"
4667,TYPO3.Fluid,Bug,"",Resolved,Should have,Error class magic only works for object properties....,Nikolas Hagelstein,"",2011-05-05 12:30,ViewHelpers,"",2009-09-17,"","",0,2009-09-17 04:56,"","",2599300,"","","","Like:
<pre>
<f:form.textbox property=""whatever"" errorClass=""iFail"" />
</pre>
Should work for:
<pre>
<f:form.textbox name=""whatever"" errorClass=""iFail"" />
</pre>
as well."
4704,TYPO3.Fluid,Feature,"",New,Should have,Improve parsing exception messages,Bastian Waidelich,"",2012-07-11 13:00,Core,"",2009-09-20,"","",0,2009-09-20 10:30,"","",2599250,"","","",Fluid Parsing Exceptions should contain the path and linenumber of the affected template for easier bug fixing.
4794,TYPO3.Fluid,Bug,"",Resolved,Must have,Translator view helper does not work when no BE user is logged in,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-09-28,"","",100,2009-09-28 16:54,"","",2599200,"","","",Tx_Fluid_ViewHelpers_TranslateViewHelper depends on $GLOBALS['LANG'] which is only available in BE mode (or in FE mode with logged in BE user)
4967,TYPO3.Fluid,Bug,"",Closed,Must have,Missing Event type onchange,Markus Dreyer,Jochen Rau,2010-10-20 05:44,"","",2009-10-11,"","",0,2009-10-11 06:39,"","",2599150,"","","",After Jochen added the event Handler tags in TagBasedViewHelper I noticed that the onchange Event is missing.
4968,TYPO3.Fluid,Feature,"",Resolved,Should have,Sorting by OptionLabel for Selectbox,Markus Dreyer,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-10-11,"","",100,2009-10-11 06:50,"","",2599100,"","","","I would like to have a sorting option for selectboxes.

sometihng like:

@$this->registerArgument('sortByOptionLabel', 'boolean', 'If true, List will be sorted by label.');@

and in getOptions

@if ($this->arguments->hasArgument('sortByOptionLabel') && $this->arguments['sortByOptionLabel'] === true) {@
@      asort($options);@
@}@
"
4972,TYPO3.Fluid,Bug,"",Closed,Should have,f:format.date does not respect locale.,Nikolas Hagelstein,"",2011-05-06 04:19,"","",2009-10-12,"","",0,2009-10-12 04:04,"","",2599050,"","","","The fluid date helper does not respect the locale date format set by e.g. setlocale.
This issue is causef by the fact that the viewhelper makes use of PHP's DateTime object internally which isn't capable of locale time formats. Currently only ""strftime"" seems respect locales."
4984,TYPO3.Fluid,Feature,"",Resolved,Must have,"Add option ""selectAll"" to Select View Helper",Jochen Rau,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-10-13,"","",100,2009-10-13 12:15,"","",2599000,"","","","Add an option ""selectAll"" to the Select View Helper. If it is set, all options of a multiple selector are preselected by default."
5003,TYPO3.Fluid,Feature,"",Resolved,Should have,Parse output of view helper 'translate',Thomas Deinhamer,Sebastian Kurfuerst,2010-10-20 05:44,ViewHelpers,"",2009-10-15,"","",100,2009-10-15 18:00,"","",2598950,"","","","Expecting you have this html/template source...

@<f:translate key=""any"">The quick brown {dog} jumps over the lazy {fox}.</f:translate>@

... the 'variables' in the brackets won't get replaced anymore.
Therefor it's very complicated to print text with inline variables,
which should then get translated.

Or is there any better approach?

Thanks!"
5020,TYPO3.Fluid,Bug,"",Resolved,Must have,SelectViewHelper produces invalid code,Jochen Rau,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-10-17,"","",100,2009-10-17 07:48,"","",2598900,"","","","The Select View Helper produces invalid code with strange output, if the value of the attribute ""options"" is empty. This is caused by the lack of at least one OPTION element.

""A SELECT element must contain at least one OPTION element.""
http://www.w3.org/TR/html4/interact/forms.html#h-17.6 "
5033,TYPO3.Fluid,Feature,"",Resolved,Must have,Improve Shorthand Syntax of ViewHelpers,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-10-19,"","",100,2009-10-19 04:29,"","",2598850,"","","","h1. Proposal for shorthand syntax

The goal of this RFC is to propose a re-done shorthand syntax for fluid after some real-world usage.

h2. Current situation

Currently, we refer to ""shorthand syntax"" as another way to call a ViewHelper.

Here, there is a basic example for this:
<pre>{f:bla.blubb(""unnamed argument"" a=""b"" c=""42"" d=""{object}"")}</pre>
This is equivalent to the following:
<pre><f:bla.blubb a=""b"" c=""42"" d=""{object}"">unnamed argument</f:bla.blubb></pre>

* Every argument needs to be quoted
* The first argument is the data inside the tag body, in case it is unnamed.
* Nesting of ViewHelpers is arbitrarily possible:
 <pre>{f:outer("" first VH: {f:bla()} second VH: {f:blubb()}"")}</pre>
 (also inside arguments of ViewHelpers, other VHs can be called)
* ViewHelpers can *not* be called inside arrays

Note: Right now, the shorthand syntax is functionally equivalent like the Tag-based ViewHelper syntax.

h2. Problems with current syntax

In the most common use-case, we write things like
<pre>{f:bla(argument=""{blubb}"" argument2=""{bla}"")}</pre>
There, two things feel strange:

* The ""{?}"" syntax feels weird
* It feels strange that the argument needs to be quoted
* There is no comma between the arguments, which feels strange to programmers
* Named arguments in many languages are delimited by :, and not by =. The a=""b"" syntax feels strange.

h2. Draft for new syntax

We remove the ""Shorthand Syntax"" as it has been described above, and instead extend the ""Object Access"" syntax.

The basic object access syntax looks like this:
<pre>{object} {object.bla.blubb}</pre>

Now, we start to *post-process* this value with a ViewHelper:
<pre>{object.bla->f:postProcess()}</pre>

This could also be chained
<pre>{object.bla->f:postProcess()->f:anotherPostProcess()}</pre>

Additionally, if the ViewHelper does NOT work on any object, the first part can be omitted:
<pre>{f:process()->f:postProcess()}</pre>

h3. Arguments

Arguments look like this:
<pre>{f:bla.blubb(arg1: 'literal string', arg2: 42, arg3: object1.bla, arg4:{a1: ""string""})}</pre>

* All arguments have a name
* The syntax is the same as in JSON arrays, just without the outer brackets
* All string arguments are NOT evaluated, but taken as *literal* strings.
* arg1 is a string (which will not be post-processed)
* arg2 is a number
* arg3 is an object accessor
* arg4 is an array

h2. Comparison

The new syntax has the following limitations:
* There is no equivalent of the following: {f:process(""bla"")}, i.e. there is no {""bla""->f:process()} and I would not introduce it.
* Is is NOT possible anymore to use ViewHelpers as arguments in other shorthand ViewHelpers (but I think this is not a problem, as you could use the XML-based syntax where this works)
* It is currently NOT possible to call ViewHelpers in arrays (but this has not been possible before either)

*Please discuss this with us in the TYPO3 5.0 General Mailing list on lists.typo3.org!*"
5056,TYPO3.Fluid,Bug,"",Closed,-- undefined --,F3\Fluid\Core\RuntimeException thrown in file TemplateVariableContainer.php,Martin Eisengardt,"",2011-05-06 04:14,"","",2009-10-20,"","",0,2009-10-21 01:59,"","",2598800,"","","","I tried to build some kind of tree by invoking a section/for recurse.

Template:
<f:section name=""children"">
	<f:for each=""{parent.children}"" as=""child"">
		{indent}
		Child: {child.name}
		- #{child.objectUuid}
		- <a href=""<f:uri.action action='deletenode' arguments=""{parent:parent,child:child}"" />"">Delete</a>
		- <a href=""<f:uri.action action='createnode' arguments=""{parent:child}"" />"">Create new child</a><br />
		<f:render partial=""admin_index_nodelist"" section=""children"" arguments=""{parent:child, indent:indent}"" />
	</f:for>
</f:section>

Tried to remove a variable ""child"" which is not stored in the context!
37 F3\Fluid\Core\ViewHelper\TemplateVariableContainer::remove(""child"")
36 F3\Fluid\ViewHelpers\ForViewHelper::render(array, ""child"", """", boolean)
35 call_user_func_array(array, array)
34 F3\Fluid\Core\Parser\SyntaxTree\ViewHelperNode::evaluate()
33 F3\Fluid\Core\Parser\SyntaxTree\AbstractNode::evaluateChildNodes()
32 F3\Fluid\Core\ViewHelper\AbstractViewHelper::renderChildren()
31 F3\Fluid\ViewHelpers\SectionViewHelper::render()
30 call_user_func_array(array, array)
29 F3\Fluid\Core\Parser\SyntaxTree\ViewHelperNode::evaluate()
28 F3\Fluid\Core\Parser\SyntaxTree\AbstractNode::evaluateChildNodes()
27 F3\Fluid\Core\Parser\SyntaxTree\RootNode::evaluate()
26 F3\Fluid\Core\Parser\ParsingState::render(F3\Fluid\Core\Rendering\RenderingContext)
25 F3\Fluid\View\TemplateView::renderPartial(""admin_index_nodelist"", ""children"", array)
24 F3\Fluid\ViewHelpers\RenderViewHelper::render(""children"", ""admin_index_nodelist"", array)
23 call_user_func_array(array, array)
22 F3\Fluid\Core\Parser\SyntaxTree\ViewHelperNode::evaluate()
21 F3\Fluid\Core\Parser\SyntaxTree\AbstractNode::evaluateChildNodes()
20 F3\Fluid\Core\Parser\SyntaxTree\RootNode::evaluate()
19 F3\Fluid\Core\Parser\ParsingState::render(F3\Fluid\Core\Rendering\RenderingContext)
18 F3\Fluid\View\TemplateView::render()
17 F3\FLOW3\MVC\Controller\ActionController::callActionMethod()
16 F3\FLOW3\MVC\Controller\ActionController::processRequest(F3\FLOW3\MVC\Web\Request, F3\FLOW3\MVC\Web\Response)
15 F3\FLOW3\MVC\Dispatcher::dispatch(F3\FLOW3\MVC\Web\Request, F3\FLOW3\MVC\Web\Response)
14 F3\FLOW3\MVC\Dispatcher_AOPProxy_Development::dispatch(F3\FLOW3\MVC\Web\Request, F3\FLOW3\MVC\Web\Response)
13 call_user_func_array(array, array)
12 F3\FLOW3\MVC\Dispatcher_AOPProxy_Development::FLOW3_AOP_Proxy_invokeJoinPoint(F3\FLOW3\AOP\JoinPoint)
11 F3\FLOW3\AOP\Advice\AdviceChain::proceed(F3\FLOW3\AOP\JoinPoint)
10 F3\FLOW3\Security\Aspect\RequestDispatchingAspect::blockIllegalRequests(F3\FLOW3\AOP\JoinPoint)
9 F3\FLOW3\AOP\Advice\AroundAdvice::invoke(F3\FLOW3\AOP\JoinPoint)
8 F3\FLOW3\AOP\Advice\AdviceChain::proceed(F3\FLOW3\AOP\JoinPoint)
7 F3\FLOW3\Security\Aspect\RequestDispatchingAspect::initializeSecurity(F3\FLOW3\AOP\JoinPoint)
6 F3\FLOW3\AOP\Advice\AroundAdvice::invoke(F3\FLOW3\AOP\JoinPoint)
5 F3\FLOW3\AOP\Advice\AdviceChain::proceed(F3\FLOW3\AOP\JoinPoint)
4 F3\FLOW3\MVC\Dispatcher_AOPProxy_Development::dispatch(F3\FLOW3\MVC\Web\Request, F3\FLOW3\MVC\Web\Response)
3 F3\FLOW3\MVC\Web\RequestHandler::handleRequest()
2 F3\FLOW3\Core\Bootstrap::run()
1 require(""Z:\ws\bgh-typo3\flow3\Packages\Framework\FLOW3\Scripts\FLOW3.php"")

Please include more helpful information!"
5069,TYPO3.Fluid,Bug,"",Resolved,Must have,Fluid Viewhelper link.email misses universal tag attributes,Morton Jonuschat,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-10-21,"","",100,2009-10-21 08:36,"","",2598750,"","","","The EmailViewHelper misses the initialization of the universal tag attributes. Due to this class and misc other tag attributes doesn't work with this viewhelper and an exception gets thrown instead.

This patch adds a call to initialize the universal tag attributes:

<pre>
--- /var/www/_websites/faa/typo3/sysext/fluid/Classes/ViewHelpers/Link/EmailViewHelper.php	2009-10-01 20:31:08.000000000 +0200
+++ EmailViewHelper.php	2009-10-21 14:33:43.000000000 +0200
@@ -51,6 +51,15 @@
 	 */
 	protected $tagName = 'a';
 
+        /**
+         * Arguments initialization
+         *
+         * @return void
+         */
+        public function initializeArguments() {
+                $this->registerUniversalTagAttributes();
+        }
+
 	/**
 	 * @param string $email The email address to be turned into a link.
 	 * @return string Rendered email link
</pre>"
5075,TYPO3.Fluid,Bug,"",Rejected,Must have,Fluid Viewhelper link.email misses universal tag attributes,Nikolas Hagelstein,"",2010-10-20 05:44,ViewHelpers,"",2009-10-21,"","",0,2009-10-21 11:37,"","",2598700,"","","","see:
http://forge.typo3.org/issues/show/5069"
5107,TYPO3.Fluid,Bug,"",Resolved,Must have,namespaces names cant have more than one letter,Fernando Arconada,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-10-25,"","",100,2009-10-25 13:10,"","",2598650,"","","","namespaces names cant have more than one letter in partials called from the layout

- {namespace z=Tx_foor_ViewHelpers} works
- {namespace za=Tx_Mytube_ViewHelpers} throws exception :#1224254792: 
Namespace could not be resolved. This exception should never be thrown! 
27 Tx_Fluid_Core_Parser_TemplateParser::handler_objectAccessor
(Tx_Fluid_Core_Parser_ParsingState, ""z"", ""a:currentAction()"", """")
"
5108,TYPO3.Fluid,Bug,"",Resolved,Must have,Custom ViewHelper couldnt find validator of its own domain,Fernando Arconada,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-10-25,"","",100,2009-10-25 13:22,"","",2598600,"","","","I've a model Tx_Mytube_Domain_Model_Video 

I have created a ViewHelper
<?php
class Tx_Mytube_ViewHelpers_VideoViewHelper extends 
Tx_Fluid_Core_ViewHelper_AbstractViewHelper {

        /**
	 * Renders the video player
	 *
	 * @param Tx_Mytube_Domain_Model_Video $video
	 * @return string the content of the rendered TypoScript object
	 */
          public function render(Tx_Mytube_Domain_Model_Video $video) {
                return ""AAAAAA"";
          }
          
}
?>

and a template

{namespace mytube=Tx_Mytube_ViewHelpers}
<mytube:video video=""{video}""/>

But i having an exception

#1237900534: No validator found for argument name ""video"" with type 
""Tx_Mytube_Domain_Model_Video"" in view helper 
""Tx_Mytube_ViewHelpers_VideoViewHelper"". "
5118,TYPO3.Fluid,Feature,"",Resolved,Must have,Allow ViewHelpers to be Cascading in Shorthand-Syntax,Steffen Ritter,Sebastian Kurfuerst,2010-10-20 05:44,Core,"",2009-10-26,"","",100,2009-10-26 08:58,"","",2598550,"","","","If you want to do something like this:
<pre>
<f:if condition=""{h:isactive(current:singleLetter.uid,number:{h:counting(context:'newslettersLatest',increase:'true',show:'true')})}"">
</pre>

it is not possible since nesting of viewHelpers within shorthand syntax is not possible.

The attached patch adapts the regexes for letting this through and additionally parses the subViewHelpers correctly while working on the ""argument-array"" of the outer ViewHelper.

The attached patch ist against v4 fluid."
5135,TYPO3.Fluid,Task,"",Resolved,Should have,Make method names CGL conform in TemplateParser,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,Core,1.0.0 alpha 6,2009-10-27,"","",100,2009-10-27 06:16,"","",23150,"","","",The TemplateParser class has a few methods named @handler_*()@ which violates the CGL.
5136,TYPO3.Fluid,Task,"",Resolved,Should have,"Cleanup in unit tests: class_exists, comments and license",Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,"",1.0.0 alpha 6,2009-10-27,"","",100,2009-10-27 06:19,"","",23200,"","","",A lot of the unit tests contain the TYPO3 4.x license boilerplate and claim to use GPL v2. There are some extra docblocks scattered around and some tests use checks for @class_exists()@ around @require_once()@.
5137,TYPO3.Fluid,Bug,"",Resolved,Must have,ResourceViewHelper not usable with new shorthand syntax,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 6,2009-10-27,"","",100,2009-10-27 06:23,"","",2604050,"","","","Since the resource to be included has no parameter in the view helper, one cannot use shorthand syntax with it."
5138,TYPO3.Fluid,Bug,"",Resolved,Must have,ResourceViewHelper uses hardcoded path to mirrored resources,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 6,2009-10-27,"","",100,2009-10-27 06:26,"","",2604000,"","","","The path to the public resource mirror can be configured in FLOW3, so the ResourceViewHelper must follow suit."
5150,TYPO3.Fluid,Bug,"",Resolved,Should have,Rewrite ViewHelpers to support new inline notation,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,Core,"",2009-10-27,"","",0,2009-10-27 12:14,"","",2598500,"","","","With the new syntax for the Fluid inline notation (aka ""shorthand syntax"") implemented with r3333 we introduced a breaking change:
While
<pre>
{f:format.crop('{blog.title}' maxChars=30)}
</pre>

can be transformed to the new syntax like:
<pre>
{blog.title -> f:format.crop(maxChars: 30)}
</pre>

... there currently is no equivalent for:
<pre>
{f:format.crop('static string' maxChars=30)}
</pre>

because we do not allow the syntax to be applied to static strings.
Obviously you can work around this by using the good old tag syntax, but IMO we should just allow:

<pre>
{'static string' -> f:format.crop(maxChars: 30)}
</pre>

The alternative (as discussed with Karsten) would be to rework all affected view helpers so that you could specify the value like this:
<pre>
{f:format.crop(value: 'static string', maxChars: 30)}
</pre>

Anyways, after thinking about this again, I'm in favor of supporting the above.
There are some exceptions though:
e.g.
<pre>{'css/styles.css' -> f:uri.resource()}</pre>
looks pretty odd and I'd change it to
<pre>{f:uri.resource(path: 'css/styles.css')}</pre>

Affected view helpers:
* format.padding
* format.number
* format.currency
* format.crop
* format.date
* format.nl2br
* format.printf
* cObject (v4 only)
* translate (v4 only)
* html (v4 only)

Affected view helpers that IMO don't need support for inline notation:
* alias
* for / groupedFor
* cycle
* if / then / else
* security.ifGrantedAuthority / security.ifAccess (v5 only)
* be.container (v4 only)
* debug (v4 only)
* errors
* section
* form
* link.*"
5158,TYPO3.Fluid,Feature,"",Closed,Should have,"Add ""true"" and ""false"" to Fluid syntax",Bastian Waidelich,Sebastian Kurfuerst,2013-06-05 04:40,Core,"",2009-10-28,"","",100,2009-10-28 06:58,"","",2598450,"",No,"","Currently
<pre>
{f:uri.resource(path: 'somePath', absolute: true)}
</pre>
throws an exception, because the @true@ is ""translated"" into @{true}@ internally.
<pre>
{f:uri.resource(path: 'somePath', absolute: 'true')}
</pre>
and
<pre>
{f:uri.resource(path: 'somePath', absolute: 1)}
</pre>
is possible, but it would be nicer to add ""true"" and ""false"" as language constructs."
5237,TYPO3.Fluid,Bug,"",Resolved,Should have,fix v4's resource ViewHelper,Sebastian Kurfuerst,"",2010-10-20 05:44,"","",2009-11-05,"","",100,2009-11-05 05:32,"","",2598400,"","","","[!!!][+BUGFIX] Fluid (ViewHelpers): FIxed the Resource ViewHelper to be in sync with FLOW3 again. This means that instead of writing <f:uri.resource>...</f:uri.resource>, you write <f:uri.resource path=""..."" /> or {f:uri.resource(path:'...')}."
5256,TYPO3.Fluid,Bug,"",Resolved,Should have,htmlspecialchars() applied inconsistently and of little use,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,Core,"",2009-11-06,"","",100,2009-11-06 09:25,"","",2598350,"","","","Observations:
* When a value assigned to Fluid is put into a template, it remains untouched (i.e. angle brackets stay as they are and so forth).
* When a value is passed through a ViewHelper, it is by default run through @HtmlSpecialCharsPostProcessor@
** This can be disabled only by using a setting that is not part of the public API and subject to change

So, the processing of values is not consistent. But there is more:

I would expect to be able to use the values assigned as-is, unprocessed. An example are the templates used in the FLOW3 kickstarter, where angle brackets are completely legal and must not be run through @htmlspecialchars()@.

Therefore I propose the following:
* remove the @HtmlSpecialCharsPostProcessor@ (and possible the whole @ObjectAccessorPostProcessorInterface@ and related code)
* add a ViewHelper that can be used with inline syntax to apply escaping for HTML (e.g. like @{value->f:escapeForHtml}@)

That way the user can decide how to make use of the values."
5257,TYPO3.Fluid,Feature,"",Resolved,Should have,Allow generic post-processing of template content,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,Core,"",2009-11-06,"","",100,2009-11-06 09:25,"","",2598300,"","","","Currently relative URLs to resources must be created using the resource viewhelper. It would be a lot nicer if that was not needed, and this triggered the idea of post processing values.
For the task at hand it would be sufficient to add the needed code to @evaluate()@ in @TextNode@, but that would not be compatible with Fluid for v4 and it seems to be better to come up with a more generic solution.

Thus the following is proposed:
* classes implementing a certain interface can be registered with Fluid
* each class can be registered to act on only certain types of syntax tree nodes
* after a template is parsed those processors are asked to do their work on the matching nodes

That would allow to plug in a processor to adjust resource URLs as well as apply HTML escaping on all text nodes (see #5256)"
5301,TYPO3.Fluid,Bug,"",Closed,Must have,Select with option multiple throws Fatal Error,Jochen Rau,Sebastian Kurfuerst,2010-10-20 05:44,ViewHelpers,"",2009-11-10,"","",0,2009-11-10 03:58,"","",2598250,"","","","The following code results in a fatal error:

<f:form.select id=""categories"" property=""categories"" options=""{categories}"" multiple=""multiple"">

The error message is:

The form field name ""[]"" is invalid. Reason: ""[]"" used not as last argument."
5485,TYPO3.Fluid,Feature,"",Rejected,Must have,"Missing operators ""==="", ""!=="" and ""!"" in fluid comparism mechanism",Steffen Ritter,"",2011-05-06 04:05,Core,"",2009-11-24,"","",0,2009-11-24 06:48,"","",2598200,"","","","implement them :)

Attached patch adds the operators and furthermore adds a unit test to for all operators in different datatypes..."
5512,TYPO3.Fluid,Bug,"",Resolved,Could have,form view helper produces invalid XHTML output,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-11-26,"","",100,2009-11-26 07:53,"","",2598150,"","","","By default the form view helper inserts hidden fields for referrer & hmac to the generated form at the very top.
I just found out, that this is not XHTML compliant as In XHTML 1.0 Strict mode all inputs have to be put in a block element.

I'd suggest to wrap the auto-generated hidden fields by
<pre>
<div style=""display: none""></div>
</pre>"
5583,TYPO3.Fluid,Story,"",Closed,Should have,DateFormat View Helper doesn't respect locale setting,Susanne Moog,"",2011-05-06 04:19,ViewHelpers,"",2009-11-30,"","",0,2009-11-30 08:39,"","",2598100,"","","","Hi [this is related to fluid, I don't know if this is the right bugtracker],

just found out that the format date viewhelper does not support local date settings (day or month names etc) because it uses the DateFormat object that does not care for the locale.

A short test case shows this:

dateTime->format('l, d. F Y'): Monday, 30. November 2009
strftime('%A, %d. %B %G'): Monday, 30. November 2009

setlocale(LC_ALL, 'de_DE.utf8');

dateTime->format('l, d. F Y'): Monday, 30. November 2009
strftime('%A, %d. %B %G'): Montag, 30. November 2009

(compare ""Monday"" and ""Montag"" in the last part)

Code:

$dateTime = new DateTime();
echo 'dateTime->format(\'l, d. F Y\'):';
echo $dateTime->format('l, d. F Y');
echo 'strftime(\'%A, %d. %B %G\'):';
echo strftime('%A, %d. %B %G');
echo ""\n"";
echo 'setlocale(LC_ALL, \'de_DE.utf8\')' . ""\n\n"";
setlocale(LC_ALL, 'de_DE.utf8');
echo 'dateTime->format(\'l, d. F Y\'):';
echo $dateTime->format('l, d. F Y');
echo 'strftime(\'%A, %d. %B %G\'):';
echo strftime('%A, %d. %B %G');


We could probably use strftime for locales other than en_US (or always?). If you think that reasonable I'll try making a patch at the weekend."
5636,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Under Review,Must have,Form_RadioViewHelper and CheckBoxViewHelper miss check for existing object before it is accessed.,Steffen Ritter,"",2013-11-22 11:14,"","",2009-12-05,"","",0,2009-12-05 12:13,"","",24700,"",No,"","If you have an form for creating an Object currently this will fail with an exception.
The other FormViewHelper use the getValue() function to determine an property-value of object assigned to the form.
Since Checkbox/Radiobox has to compare against a value to decide if selected, they have to fetch the property-value on their own.

in getValue a check on $this->viewHelperVariableContainer->exists('Tx_Fluid_ViewHelpers_FormViewHelper', 'formObject') and an call to $this->addAdditionalIdentityPropertiesIfNeeded(); are performed before acessing the property. If you do so in RadioBox and Checkbox too, no exception anymore.

regards

Steffen"
5783,TYPO3.Fluid,Bug,"",Resolved,Must have,The AbstractViewHelper floods the syslog,Jochen Rau,Sebastian Kurfuerst,2010-10-20 05:44,Core,"",2010-06-18,2010-06-18,"",100,2009-12-17 18:11,"","",2598050,"","","",See related issue #5605 in Extbase.
5879,TYPO3.Fluid,Bug,"",Resolved,Should have,It's not possible to make the multiple attribute optional,Kim Lang,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-01-04,2010-06-21,"",100,2010-01-03 19:34,"","",2598000,"","","","In my extension i have a flexform where i can configure the attributes of every formfield.
I use the IF inline syntax in the ""view"" to achieve this.

This works well for all attributes except for the multiple attribute.


Example:
<pre>
<f:form.Select 
	property=""{fieldHelper.name}"" 

 	options=""{fieldHelper.config.options}""

	id=""{form.name}_{fieldHelper.name}""

	disabled=""{f:if(condition: fieldHelper.config.disabled, then: 'disabled')}""
	multiple=""{f:if(condition: fieldHelper.config.multiple, then: 'multiple')}""
	
	accesskey=""{fieldHelper.config.accesskey}""
	tabindex=""{f:if(condition: fieldHelper.config.tabindex, then: fieldHelper.config.tabindex)}""
/>
</pre>

The problem is in the SelectViewHelper it checks only if the attribute is given not have a value.
Lines: 111, 125, 213
if ($this->arguments->hasArgument('multiple')) {


this syntax is unfortunately not working:
<pre>
<f:form.Select 
	{f:if(condition: fieldHelper.config.multiple, then: 'multiple=""multiple""')}
/>
</pre>
"
5933,TYPO3.Fluid,Feature,"",Accepted,Should have,Optional section rendering,Nathan L,Sebastian Kurfuerst,2012-05-21 10:18,ViewHelpers,"",2010-06-18,2010-06-25,2.00,20,2010-01-08 10:34,"","",2597950,"",No,"","It would be nice to be able to make a section optional.

If a template does not define the ""food"" section, then the default food will be shown if optional is set:
<f:render section=""food"" optional=""true"">
    <p>Default food: potato chips</p>
</f:render>

If a default value is not set, then it will render nothing:
<f:render section=""food"" optional=""true"" />


If optional=""true"" is not set, then an exception will be thrown. This is the normal behavior so nothing should change for anyone unless they add the optional parameter."
5963,TYPO3.Fluid,Bug,"",Closed,Won't have this time,Multiple Select Form helper fails when value is Tx_Extbase_Persistence_ObjectStorage,Nathan L,"",2010-10-20 05:44,ViewHelpers,"",2010-01-11,"","",0,2010-01-11 18:02,"","",2597900,"","","","<f:form.select multiple=""true"" size=""4"" property=""dishTypes"" options=""{allDishTypes}"" optionLabelField=""name""></f:form.select>

This failed to mark selected items as selected when recipe->getDishTypes() returns a Tx_Extbase_Persistence_ObjectStorage

See the patch for the change I made to make it functional.

Basically the getOptions method converts the values away from objects.

Actually, this change I made should probably be done in getSelectedValue() but I have no time and have to catch my carpool.



"
6003,TYPO3.Fluid,Bug,"",Resolved,Should have,ObjectAccessorNode::evaluate calls ObjectAccessor even if variable is not an object or array,Robert Lemke,Robert Lemke,2010-10-20 05:44,Core,1.0.0 alpha 7,2010-01-13,"","",100,2010-01-13 10:26,"","",2604100,"","","","ObjectAccessorNode::evaluate calls ObjectAccessor even if variable is not an object or array.
"
